




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
AIR ACRES                     2378                          1935                          81.37%
ARNOLD MILL                   3560                          3021                          84.86%
AVERY                         2445                          2068                          84.58%
BALL GROUND                   2800                          2339                          83.54%
BASCOMB                       3357                          2739                          81.59%
BELLS                         4038                          3159                          78.23%
BOOTH                         3354                          2807                          83.69%
BRADSHAW                      3521                          3039                          86.31%
BRIDGEMILL                    4187                          3485                          83.23%
CANTON                        4665                          3564                          76.40%
CARMEL                        3139                          2322                          73.97%
WOODSTOCK                     4697                          3566                          75.92%
CLAYTON                       2774                          2287                          82.44%
CONNS CREEK                   617                           493                           79.90%
DEER RUN                      2458                          2047                          83.28%
DIXIE                         4384                          3369                          76.85%
FREEHOME                      4262                          3570                          83.76%
HICKORY FLAT                  4424                          3666                          82.87%
HIGHTOWER                     2646                          2245                          84.85%
HILLSIDE                      2819                          2356                          83.58%
HOLLY SPRINGS                 2060                          1626                          78.93%
KELLOGG                       3943                          3065                          77.73%
LIBERTY                       6086                          4787                          78.66%
LITTLE RIVER                  5549                          4579                          82.52%
MACEDONIA                     3648                          3123                          85.61%
MOUNTAIN ROAD                 2584                          2144                          82.97%
OAK GROVE                     2806                          2217                          79.01%
R M MOORE                     2434                          2021                          83.03%
R T JONES                     1819                          1345                          73.94%
ROSECREEK                     3217                          2686                          83.49%
SALACOA                       539                           445                           82.56%
SIXES                         2444                          2100                          85.92%
SUTALLEE                      1874                          1575                          84.04%
TEASLEY                       5707                          4666                          81.76%
TOONIGH                       4961                          4104                          82.73%
UNION HILL                    3126                          2652                          84.84%
UNIVETER                      4100                          3355                          81.83%
VICTORIA                      2407                          1930                          80.18%
WALESKA                       2037                          1699                          83.41%
WILDCAT                       2534                          2060                          81.29%
WOODLANDS                     2871                          2430                          84.64%
NEESE                         5538                          4494                          81.15%
Total:                        138809                        113180                        81.54%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
AIR ACRES                     2378                          551                           87                            646                           1                             1285                          201                           29                            261                           0                             491                           61                            4                             40                            0                             105                           1881                          
ARNOLD MILL                   3560                          859                           108                           1217                          0                             2184                          271                           32                            315                           0                             618                           73                            13                            65                            0                             151                           2953                          
AVERY                         2445                          546                           68                            1047                          0                             1661                          83                            25                            160                           0                             268                           50                            3                             33                            0                             86                            2015                          
BALL GROUND                   2800                          524                           55                            1361                          1                             1941                          95                            9                             175                           0                             279                           31                            1                             47                            0                             79                            2299                          
BASCOMB                       3357                          758                           77                            1064                          0                             1899                          271                           23                            370                           0                             664                           71                            7                             42                            0                             120                           2683                          
BELLS                         4038                          972                           82                            798                           1                             1853                          509                           42                            517                           0                             1068                          113                           11                            57                            1                             182                           3103                          
BOOTH                         3354                          611                           120                           1217                          1                             1949                          237                           54                            409                           1                             701                           53                            8                             42                            0                             103                           2753                          
BRADSHAW                      3521                          613                           108                           1586                          0                             2307                          144                           36                            377                           0                             557                           52                            6                             67                            0                             125                           2989                          
BRIDGEMILL                    4187                          903                           144                           1549                          1                             2597                          289                           48                            370                           0                             707                           68                            10                            48                            0                             126                           3430                          
CANTON                        4665                          719                           117                           1553                          0                             2389                          333                           82                            589                           0                             1004                          52                            4                             65                            0                             121                           3514                          
CARMEL                        3139                          596                           64                            724                           0                             1384                          367                           45                            338                           0                             750                           69                            6                             49                            0                             124                           2258                          
WOODSTOCK                     4697                          723                           78                            1337                          0                             2138                          372                           72                            733                           0                             1177                          84                            7                             90                            0                             181                           3496                          
CLAYTON                       2774                          645                           60                            1137                          0                             1842                          107                           7                             203                           0                             317                           53                            4                             30                            0                             87                            2246                          
CONNS CREEK                   617                           196                           8                             220                           0                             424                           20                            4                             22                            0                             46                            9                             2                             1                             0                             12                            482                           
DEER RUN                      2458                          699                           53                            654                           1                             1407                          213                           29                            248                           0                             490                           52                            4                             39                            0                             95                            1992                          
DIXIE                         4384                          868                           121                           1154                          1                             2144                          433                           69                            461                           1                             964                           114                           9                             73                            0                             196                           3304                          
FREEHOME                      4262                          1263                          138                           1450                          0                             2851                          227                           33                            265                           0                             525                           79                            12                            34                            0                             125                           3501                          
HICKORY FLAT                  4424                          855                           110                           1635                          0                             2600                          303                           38                            477                           1                             819                           86                            11                            71                            0                             168                           3587                          
