




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Acworth 1A                    4166                          3309                          79.43%
Acworth 1B                    3866                          2951                          76.33%
Acworth 1C                    3718                          2769                          74.48%
Addison 01                    2085                          1717                          82.35%
Austell 1A                    3578                          2597                          72.58%
Bells Ferry 02                2518                          2006                          79.67%
Bells Ferry 03                4866                          3803                          78.15%
Big Shanty 01                 2283                          1686                          73.85%
Big Shanty 02                 2595                          2153                          82.97%
Baker 01                      3834                          2940                          76.68%
Birney 01                     2048                          1542                          75.29%
Birney 02                     3093                          2491                          80.54%
Bryant 01                     1676                          1313                          78.34%
Bryant 02                     4395                          2667                          60.68%
Blackwell 01                  2212                          1780                          80.47%
Chattahoochee 01              4413                          3172                          71.88%
Cheatham Hill 02              2559                          2159                          84.37%
Cheatham Hill 03              3387                          2873                          84.82%
Chalker 01                    4137                          3006                          72.66%
Clarkdale 01                  1502                          1168                          77.76%
Clarkdale 02                  4110                          3164                          76.98%
Cooper 01                     3769                          2760                          73.23%
Chestnut Ridge 01             2768                          2390                          86.34%
Dickerson 01                  2537                          2142                          84.43%
Dobbins 01                    3308                          2206                          66.69%
Dowell 01                     2738                          2230                          81.45%
Dodgen 01                     1851                          1586                          85.68%
Durham 01                     3590                          2938                          81.84%
Davis 01                      1743                          1419                          81.41%
Eastside 01                   2651                          2234                          84.27%
Eastside 02                   3556                          3028                          85.15%
Elizabeth 01                  2943                          2054                          69.79%
Elizabeth 02                  2031                          1683                          82.87%
Elizabeth 03                  2369                          1989                          83.96%
Elizabeth 04                  2324                          1796                          77.28%
Elizabeth 05                  2561                          2116                          82.62%
East Piedmont 01              1977                          1533                          77.54%
Fair Oaks 01                  3167                          2291                          72.34%
Fair Oaks 02                  3538                          2306                          65.18%
Fair Oaks 04                  1844                          1247                          67.62%
Fair Oaks 05                  1511                          889                           58.84%
Fullers Park 01               2953                          2486                          84.19%
Ford 01                       2728                          2255                          82.66%
Frey 01                       2123                          1732                          81.58%
Garrison Mill 01              2408                          2018                          83.80%
Gritters 01                   3313                          2651                          80.02%
Harmony Leland 01             4520                          3544                          78.41%
Harrison 01                   2411                          2022                          83.87%
Hightower 01                  3697                          3130                          84.66%
Hayes 01                      3392                          2772                          81.72%
Kennesaw 1A                   1993                          1463                          73.41%
Kennesaw 2A                   3043                          2364                          77.69%
Kennesaw 3A                   4537                          3374                          74.37%
Kennesaw 4A                   2999                          2349                          78.33%
Kennesaw 5A                   4676                          3801                          81.29%
Kell 01                       1725                          1433                          83.07%
Kemp 01                       1666                          1389                          83.37%
Kemp 02                       3319                          2780                          83.76%
Kemp 03                       3372                          2825                          83.78%
Lasssiter 01                  3148                          2650                          84.18%
Lindley 01                    3836                          3151                          82.14%
Lost Mountain 01              2908                          2443                          84.01%
Lost Mountain 02              3572                          2990                          83.71%
Lost Mountain 03              4312                          3625                          84.07%
Lost Mountain 04              2320                          1900                          81.90%
Lewis 01                      1398                          1162                          83.12%
Mableton 01                   3805                          2919                          76.71%
