




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Kiokee Baptist Church-10      643                           576                           89.58%
Kiokee Baptist Church-12      1418                          1206                          85.05%
Lewis Methodist Church        3632                          3055                          84.11%
Woodlawn Baptist Church       1102                          924                           83.85%
Patriots Park                 3945                          3031                          76.83%
Harlem Middle School-10       460                           369                           80.22%
Harlem Middle School-12       1068                          813                           76.12%
Harlem Baptist Church-10      697                           587                           84.22%
Harlem Baptist Church-12      586                           474                           80.89%
Bessie Thomas Center          1556                          1278                          82.13%
Philadelphia Church           1667                          1270                          76.18%
Grovetown City Hall           2488                          1801                          72.39%
Grovetown Methodist Church    1723                          1207                          70.05%
G A Apostolic Church          1223                          987                           80.70%
Grovetown Middle School       2113                          1514                          71.65%
Warren Baptist Church - Grovetown1931                          1415                          73.28%
Eubank/Blanchard Center       1079                          909                           84.24%
Second Mt Carmel Bapt Church  592                           480                           81.08%
Damascus Baptist Church       798                           663                           83.08%
Col Cty Bd Of Edu             1769                          1429                          80.78%
Greenbrier High               2234                          1903                          85.18%
Redeemer Church               3440                          2858                          83.08%
Riverside Elementary          1166                          946                           81.13%
Grace Baptist Church          2675                          2217                          82.88%
Christ Sanctified             2041                          1601                          78.44%
Blanchard Park                1419                          1145                          80.69%
Mtz Col Fire Dept #4          1637                          1228                          75.02%
Belair Baptist Church         1979                          1581                          79.89%
Marvin Methodist Church       1571                          1224                          77.91%
Westside Bapt Church          1376                          1179                          85.68%
Trinity Bapt Church           973                           784                           80.58%
Abilene Baptist               1625                          1284                          79.02%
Augusta Christian             1855                          1476                          79.57%
Stevens Creek Elem            1439                          1221                          84.85%
Gospel Water Branch           1370                          1157                          84.45%
Genesis Church                1603                          1364                          85.09%
Stevens Creek Church          2320                          1959                          84.44%
Mtz Col Fire Hdqtr            1031                          799                           77.50%
Lakeside Middle               1604                          1249                          77.87%
Martinez Baptist              1423                          1083                          76.11%
Gold Cross EMS                1651                          1331                          80.62%
Church of our Savior          1895                          1439                          75.94%
West Acres Baptist            2075                          1673                          80.63%
Journey Comm. Church          700                           596                           85.14%
Wesley Methodist              2266                          1890                          83.41%
Col Cty Main Library          1563                          1238                          79.21%
Christ Church                 2362                          1973                          83.53%
Blue Ridge Elementary         1867                          1510                          80.88%
Christ The King Luth Ch       1842                          1532                          83.17%
Total:                        81492                         65428                         80.29%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Kiokee Baptist Church-10      643                           217                           19                            266                           0                             502                           25                            8                             19                            0                             52                            11                            0                             1                             0                             12                            566                           
Kiokee Baptist Church-12      1418                          417                           43                            562                           0                             1022                          32                            12                            81                            0                             125                           10                            4                             21                            0                             35                            1182                          
Lewis Methodist Church        3632                          633                           72                            1308                          1                             2014                          233                           58                            570                           0                             861                           60                            5                             62                            0                             127                           3002                          
Woodlawn Baptist Church       1102                          248                           29                            395                           0                             672                           70                            17                            120                           0                             207                           20                            1                             5                             0                             26                            905                           
Patriots Park                 3945                          576                           67                            1110                          0                             1753                          326                           53                            700                           0                             1079                          71                            6                             73                            0                             150                           2982                          
Harlem Middle School-10       460                           208                           15                            66                            0                             289                           34                            6                             23                            0                             63                            10                            0                             2                             0                             12                            364                           
Harlem Middle School-12       1068                          325                           28                            247                           1                             601                           94                            19                            72                            0                             185                           13                            0                             2                             0                             15                            801                           
Harlem Baptist Church-10      697                           241                           9                             95                            1                             346                           132                           24                            63                            0                             219                           9                             0                             6                             0                             15                            580                           
Harlem Baptist Church-12      586                           182                           6                             71                            0                             259                           128                           24                            52                            0                             204                           7                             0                             1                             0                             8                             471                           
Bessie Thomas Center          1556                          586                           31                            457                           0                             1074                          73                            14                            73                            0                             160                           19                            0                             7                             0                             26                            1260                          
Philadelphia Church           1667                          366                           22                            362                           0                             750                           207                           32                            190                           0                             429                           33                            4                             31                            0                             68                            1247                          
Grovetown City Hall           2488                          468                           29                            385                           1                             883                           389                           32                            391                           0                             812                           40                            2                             33                            0                             75                            1770                          
Grovetown Methodist Church    1723                          337                           24                            175                           0                             536                           326                           27                            246                           1                             600                           39                            0                             7                             0                             46                            1182                          
G A Apostolic Church          1223                          404                           21                            274                           2                             701                           115                           11                            130                           0                             256                           10                            2                             6                             0                             18                            975                           
Grovetown Middle School       2113                          357                           25                            313                           0                             695                           361                           26                            326                           0                             713                           48                            3                             18                            0                             69                            1477                          
Warren Baptist Church - Grovetown1931                          324                           17                            297                           0                             638                           275                           34                            393                           0                             702                           36                            1                             14                            0                             51                            1391                          
Eubank/Blanchard Center       1079                          386                           17                            270                           0                             673                           125                           22                            61                            0                             208                           9                             1                             7                             0                             17                            898                           
Second Mt Carmel Bapt Church  592                           90                            4                             94                            0                             188                           157                           21                            108                           0                             286                           2                             0                             2                             0                             4                             478                           
Damascus Baptist Church       798                           338                           14                            224                           0                             576                           36                            11                            21                            0                             68                            10                            0                             1                             0                             11                            655                           
Col Cty Bd Of Edu             1769                          256                           47                            669                           0                             972                           123                           30                            246                           0                             399                           18                            4                             15                            0                             37                            1408                          
Greenbrier High               2234                          513                           42                            837                           1                             1393                          133                           27                            227                           0                             387                           41                            4                             40                            0                             85                            1865                          
