COUNTY,PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE
Appling,1B,92,20,32,40,0,9,3,0,6,0,685,54,276,354,1,1033
Appling,1C,42,1,15,26,0,5,0,3,2,0,496,40,174,282,0,682
Appling,2,742,87,317,338,0,10,0,5,5,0,427,37,171,219,0,1808
Appling,3A,4,0,2,2,0,4,2,1,1,0,209,5,47,156,1,264
Appling,3A1,17,3,6,8,0,1,0,0,1,0,319,25,98,196,0,418
Appling,3B,98,7,21,70,0,1,0,0,1,0,101,6,31,64,0,280
Appling,3C,154,15,82,57,0,14,1,8,5,0,670,53,363,254,0,1089
Appling,4A,14,0,7,7,0,1,0,0,1,0,261,9,63,189,0,336
Appling,4B,7,0,5,2,0,0,0,0,0,0,305,12,96,197,0,377
Appling,4C,10,2,1,7,0,2,0,1,1,0,284,19,85,180,0,348
Appling,4D,83,12,44,27,0,10,1,3,6,0,624,41,301,282,0,879
Appling,5A,68,5,39,24,0,12,1,6,5,0,530,29,278,223,0,829
Appling,5B,79,5,18,56,0,3,0,0,3,0,336,14,136,186,0,573
Appling,5C,24,2,9,13,0,5,1,0,4,0,247,18,63,166,0,326
Atkinson,Pearson County,136,10,66,59,1,6,0,1,5,0,850,25,550,271,4,1339
Atkinson,Axson,29,2,12,15,0,4,0,1,3,0,375,10,144,221,0,561
Atkinson,Willacoochee,257,4,74,179,0,16,1,3,12,0,489,14,191,283,1,1064
Atkinson,Pearson City,275,14,147,114,0,9,0,5,4,0,164,9,87,68,0,731
Bacon,Pearson County,136,10,66,59,1,6,0,1,5,0,850,25,550,271,4,1339
Bacon,Axson,29,2,12,15,0,4,0,1,3,0,375,10,144,221,0,561
Bacon,Willacoochee,257,4,74,179,0,16,1,3,12,0,489,14,191,283,1,1064
Bacon,Pearson City,275,14,147,114,0,9,0,5,4,0,164,9,87,68,0,731
Baker,Anna,32,2,6,24,0,0,0,0,0,0,73,2,12,59,0,146
Baker,Elmodel,133,15,68,50,0,4,1,2,1,0,124,7,50,67,0,369
Baker,Hoggard Mill,105,15,26,63,1,3,0,0,3,0,92,5,30,57,0,285
Baker,Milford,74,4,15,55,0,2,0,0,2,0,133,16,27,90,0,256
Baker,Newton,306,33,146,127,0,6,0,1,5,0,353,46,183,123,1,918
Baldwin,South Milledgeville,524,78,274,172,0,24,3,8,13,0,131,5,76,50,0,1004
Baldwin,City Hall Annex,303,38,131,134,0,21,2,9,10,0,178,20,94,64,0,795
Baldwin,Boddie,534,79,232,222,1,28,1,15,12,0,124,12,62,50,0,1097
Baldwin,Courthouse,167,14,90,63,0,20,0,12,8,0,127,9,81,37,0,455
