




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
HARBINS A                     4688                          3719                          79.33%
ROCKBRIDGE A                  3006                          2333                          77.61%
DACULA                        3648                          2847                          78.04%
SUWANEE A                     1291                          968                           74.98%
BAYCREEK A                    2272                          1867                          82.17%
GOODWINS A                    3049                          2309                          75.73%
DULUTH A                      3711                          2971                          80.06%
DUNCANS A                     3752                          3081                          82.12%
PUCKETTS A                    3975                          3195                          80.38%
CATES A                       1948                          1533                          78.70%
BERKSHIRE A                   1760                          1306                          74.20%
BERKSHIRE B                   4080                          2960                          72.55%
DUNCANS C                     2518                          2128                          84.51%
GARNERS A                     2910                          2409                          82.78%
LAWRENCEVILLE A               2889                          2043                          70.72%
LAWRENCEVILLE B               3653                          2811                          76.95%
MARTINS A                     2371                          1684                          71.02%
MARTINS B                     2307                          1732                          75.08%
MARTINS C                     1934                          1507                          77.92%
PINCKNEYVILLE A               1983                          1314                          66.26%
PINCKNEYVILLE B               2390                          1594                          66.69%
PINCKNEYVILLE C               1568                          1321                          84.25%
PINCKNEYVILLE D               1512                          974                           64.42%
SUGAR HILL A                  2940                          2181                          74.18%
SUGAR HILL B                  3787                          2897                          76.50%
HOG MOUNTAIN A                3646                          2704                          74.16%
HOG MOUNTAIN B                3661                          3021                          82.52%
ROCKYCREEK A                  4311                          3407                          79.03%
CATES B                       1417                          1173                          82.78%
CATES C                       2181                          1703                          78.08%
HOG MOUNTAIN D                2475                          1942                          78.46%
BERKSHIRE D                   2310                          1891                          81.86%
BERKSHIRE E                   1674                          1410                          84.23%
BERKSHIRE F                   1573                          1102                          70.06%
CATES D                       2140                          1748                          81.68%
035 Cates D - 04              495                           391                           78.99%
CATES E                       2402                          2017                          83.97%
PINCKNEYVILLE E               1563                          1040                          66.54%
PINCKNEYVILLE F               1648                          1035                          62.80%
DUNCANS D                     4888                          3925                          80.30%
PINCKNEYVILLE H               3376                          2681                          79.41%
BAYCREEK B                    4331                          3379                          78.02%
LAWRENCEVILLE C               2359                          1832                          77.66%
MARTINS D                     1521                          1009                          66.34%
ROCKBRIDGE B                  3144                          2341                          74.46%
GARNERS B                     2529                          2036                          80.51%
CATES F                       1566                          1275                          81.42%
CATES G                       2392                          1976                          82.61%
DULUTH B                      2666                          2009                          75.36%
GARNERS C                     1603                          1257                          78.42%
PINCKNEYVILLE I               1893                          1353                          71.47%
PINCKNEYVILLE J               1901                          1200                          63.12%
BERKSHIRE G                   1960                          1600                          81.63%
CATES H                       2780                          2077                          74.71%
SUGAR HILL C                  3804                          3074                          80.81%
SUGAR HILL D                  3095                          2366                          76.45%
DULUTH C                      1914                          1446                          75.55%
DULUTH D                      3331                          2446                          73.43%
PINCKNEYVILLE K               2674                          1760                          65.82%
PINCKNEYVILLE N               2723                          1835                          67.39%
LAWRENCEVILLE D               3644                          2410                          66.14%
LAWRENCEVILLE E               1890                          1529                          80.90%
PINCKNEYVILLE L               2140                          1828                          85.42%
PINCKNEYVILLE M               2297                          1909                          83.11%
GARNERS D                     2543                          1950                          76.68%
BERKSHIRE H                   1274                          967                           75.90%
PINCKNEYVILLE O               2616                          1779                          68.00%
PUCKETTS E                    3919                          3000                          76.55%
CATES I                       2938                          2365                          80.50%
CATES J                       2744                          2169                          79.05%
GOODWINS B                    3218                          2532                          78.68%
LAWRENCEVILLE F               3082                          2348                          76.18%
MARTINS E                     4381                          2597                          59.28%
PINCKNEYVILLE P               1701                          1363                          80.13%
PINCKNEYVILLE Q               1365                          933                           68.35%
ROCKBRIDGE C                  3928                          3075                          78.28%
ROCKBRIDGE D                  2874                          2307                          80.27%
GOODWINS C                    3948                          2959                          74.95%
BAYCREEK K                    2867                          2356                          82.18%
CATES K                       2116                          1712                          80.91%
BAYCREEK C                    4733                          3851                          81.36%
CATES L                       3238                          2551                          78.78%
DULUTH E                      3671                          2601                          70.85%
GOODWINS D                    3337                          2517                          75.43%
LAWRENCEVILLE G               2286                          1686                          73.75%
LAWRENCEVILLE H               3275                          2672                          81.59%
MARTINS F                     1897                          1285                          67.74%
PINCKNEYVILLE S               2367                          1702                          71.91%
ROCKBRIDGE E                  3387                          2452                          72.39%
SUGAR HILL E                  2379                          1915                          80.50%
LAWRENCEVILLE I               2630                          1926                          73.23%
BAYCREEK D                    3625                          2950                          81.38%
BERKSHIRE J                   2378                          1987                          83.56%
CATES M                       3457                          2829                          81.83%
CATES N                       2158                          1787                          82.81%
DULUTH F                      3826                          2593                          67.77%
DULUTH G                      2352                          1862                          79.17%
GOODWINS E                    4183                          3200                          76.50%
GOODWINS F                    2460                          1893                          76.95%
PINCKNEYVILLE T               2294                          1686                          73.50%
SUWANEE B                     3305                          2644                          80.00%
PINCKNEYVILLE U               1659                          1270                          76.55%
PUCKETTS B                    2377                          1962                          82.54%
BERKSHIRE L                   2322                          1657                          71.36%
ROCKBRIDGE F                  4385                          3482                          79.41%
SUGAR HILL F                  3124                          2449                          78.39%
SUWANEE C                     3878                          2910                          75.04%
CATES O                       1160                          918                           79.14%
BAYCREEK E                    2418                          1854                          76.67%
BERKSHIRE M                   1403                          1146                          81.68%
MARTINS G                     1733                          1272                          73.40%
DULUTH H                      2142                          1664                          77.68%
BERKSHIRE N                   2585                          2157                          83.44%
PINCKNEYVILLE V               1247                          896                           71.85%
PINCKNEYVILLE W               3032                          2258                          74.47%
MARTINS H                     3482                          2515                          72.23%
MARTINS I                     2751                          1889                          68.67%
MARTINS J                     2933                          2034                          69.35%
GARNERS F                     1326                          1063                          80.17%
BERKSHIRE O                   2144                          1749                          81.58%
BERKSHIRE P                   1027                          740                           72.05%
PINCKNEYVILLE X               2732                          2227                          81.52%
ROCKBRIDGE G                  4165                          3228                          77.50%
PINCKNEYVILLE Y               2282                          1572                          68.89%
GOODWINS G                    1962                          1443                          73.55%
PINCKNEYVILLE Z               1629                          1468                          90.12%
PINCKNEYVILLE A1              2434                          2036                          83.65%
LAWRENCEVILLE J               1627                          1218                          74.86%
GOODWINS H                    2172                          1737                          79.97%
DUNCANS B                     3786                          3054                          80.67%
SUWANEE D                     3652                          3022                          82.75%
SUWANEE E                     3354                          2719                          81.07%
LAWRENCEVILLE K               2566                          2058                          80.20%
HARBINS B                     3427                          2732                          79.72%
BAYCREEK F                    3372                          2671                          79.21%
PUCKETTS C                    2420                          1925                          79.55%
HOG MOUNTAIN C                3176                          2440                          76.83%
ROCKYCREEK B                  3900                          3162                          81.08%
DULUTH I                      3671                          2827                          77.01%
