




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
ELLENWOOD                     4498                          3500                          77.81%
FOREST PARK 1                 2299                          1334                          58.03%
FOREST PARK 2                 1828                          1187                          64.93%
FOREST PARK 3                 1763                          1131                          64.15%
FOREST PARK 4                 1248                          890                           71.31%
FOREST PARK 5                 2566                          1577                          61.46%
FOREST PARK 6                 1022                          697                           68.20%
JONESBORO 1                   3585                          2451                          68.37%
JONESBORO 2                   3230                          2187                          67.71%
JONESBORO 3                   3049                          2258                          74.06%
JONESBORO 4                   1636                          1016                          62.10%
JONESBORO 5                   1539                          1149                          74.66%
JONESBORO 6                   2155                          1764                          81.86%
JONESBORO 7                   2359                          1777                          75.33%
JONESBORO 8                   2636                          1733                          65.74%
JONESBORO 9                   1068                          628                           58.80%
JONESBORO 10                  2296                          1431                          62.33%
JONESBORO 11                  2891                          2239                          77.45%
JONESBORO 12                  2145                          1475                          68.76%
JONESBORO 13                  1457                          1161                          79.68%
JONESBORO 14                  3439                          2736                          79.56%
JONESBORO 15                  2010                          1232                          61.29%
JONESBORO 16                  1646                          1084                          65.86%
JONESBORO 17                  3541                          2402                          67.83%
JONESBORO 18                  2309                          1622                          70.25%
LAKE CITY                     2144                          1389                          64.79%
LOVEJOY 1                     2898                          2168                          74.81%
LOVEJOY 2                     2342                          1665                          71.09%
LOVEJOY 3                     4664                          3370                          72.26%
LOVEJOY 4                     3070                          2310                          75.24%
LOVEJOY 5                     2221                          1564                          70.42%
MORROW 1                      2198                          1505                          68.47%
MORROW 2                      1500                          1052                          70.13%
MORROW 3                      3277                          2251                          68.69%
MORROW 4                      1482                          1007                          67.95%
MORROW 5                      3817                          2924                          76.60%
MORROW 6                      2058                          1511                          73.42%
MORROW 7                      1429                          959                           67.11%
MORROW 8                      2182                          1657                          75.94%
MORROW 9                      1059                          760                           71.77%
OAK 1                         1750                          1154                          65.94%
OAK 2                         1282                          760                           59.28%
OAK 3                         2945                          1816                          61.66%
OAK 4                         2655                          1758                          66.21%
PANHANDLE 1                   2303                          1826                          79.29%
PANHANDLE 2                   2178                          1712                          78.60%
RIVERDALE 1                   1798                          1387                          77.14%
RIVERDALE 2                   2468                          1707                          69.17%
RIVERDALE 3                   2690                          1823                          67.77%
RIVERDALE 4                   3093                          1987                          64.24%
RIVERDALE 5                   2248                          1580                          70.28%
RIVERDALE 6                   2422                          1462                          60.36%
RIVERDALE 7                   1836                          1061                          57.79%
RIVERDALE 8                   2171                          1671                          76.97%
RIVERDALE 9                   2030                          1421                          70.00%
RIVERDALE 10                  2046                          1220                          59.63%
RIVERDALE 11                  1449                          1068                          73.71%
RIVERDALE 12                  2244                          1677                          74.73%
Total:                        134164                        93843                         69.95%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
ELLENWOOD                     4498                          64                            16                            139                           0                             219                           854                           83                            2233                          4                             3174                          25                            2                             32                            0                             59                            3452                          
FOREST PARK 1                 2299                          122                           19                            126                           0                             267                           574                           32                            407                           1                             1014                          24                            1                             12                            0                             37                            1318                          
FOREST PARK 2                 1828                          91                            16                            77                            0                             184                           471                           31                            453                           0                             955                           12                            1                             11                            0                             24                            1163                          
FOREST PARK 3                 1763                          78                            16                            128                           0                             222                           444                           71                            365                           0                             880                           11                            0                             7                             0                             18                            1120                          
FOREST PARK 4                 1248                          110                           21                            151                           0                             282                           276                           16                            281                           0                             573                           13                            0                             9                             0                             22                            877                           
FOREST PARK 5                 2566                          130                           10                            124                           1                             265                           639                           35                            587                           2                             1263                          19                            0                             14                            1                             34                            1562                          
FOREST PARK 6                 1022                          68                            15                            122                           4                             209                           194                           23                            242                           1                             460                           7                             0                             7                             0                             14                            683                           
JONESBORO 1                   3585                          50                            18                            139                           0                             207                           760                           77                            1335                          4                             2176                          16                            0                             25                            0                             41                            2424                          
JONESBORO 2                   3230                          31                            3                             74                            0                             108                           657                           61                            1302                          4                             2024                          17                            2                             16                            0                             35                            2167                          
JONESBORO 3                   3049                          133                           27                            225                           1                             386                           532                           54                            1207                          2                             1795                          25                            4                             14                            0                             43                            2224                          
JONESBORO 4                   1636                          63                            11                            98                            0                             172                           359                           26                            425                           1                             811                           12                            2                             8                             0                             22                            1005                          
JONESBORO 5                   1539                          126                           16                            128                           1                             271                           331                           26                            468                           0                             825                           12                            3                             18                            0                             33                            1129                          
JONESBORO 6                   2155                          237                           74                            532                           1                             844                           197                           60                            589                           0                             846                           17                            1                             19                            0                             37                            1727                          
JONESBORO 7                   2359                          75                            30                            224                           0                             329                           474                           51                            867                           2                             1394                          23                            3                             17                            0                             43                            1766                          
JONESBORO 8                   2636                          56                            8                             51                            0                             115                           669                           26                            869                           5                             1569                          16                            0                             7                             1                             24                            1708                          
JONESBORO 9                   1068                          58                            6                             68                            0                             132                           236                           8                             226                           2                             472                           10                            0                             3                             0                             13                            617                           
JONESBORO 10                  2296                          68                            5                             85                            0                             158                           516                           34                            677                           3                             1230                          12                            0                             10                            0                             22                            1410                          
JONESBORO 11                  2891                          164                           45                            280                           1                             490                           517                           58                            1087                          0                             1662                          19                            1                             24                            0                             44                            2196                          
JONESBORO 12                  2145                          46                            7                             56                            0                             109                           520                           39                            770                           2                             1331                          7                             1                             7                             1                             16                            1456                          
JONESBORO 13                  1457                          81                            9                             92                            0                             182                           315                           29                            604                           2                             950                           12                            0                             5                             0                             17                            1149                          
JONESBORO 14                  3439                          200                           60                            597                           0                             857                           456                           70                            1250                          5                             1781                          24                            3                             26                            0                             53                            2691                          
JONESBORO 15                  2010                          31                            9                             89                            0                             129                           461                           17                            571                           3                             1052                          14                            0                             17                            0                             31                            1212                          
JONESBORO 16                  1646                          52                            7                             67                            1                             127                           392                           26                            492                           2                             912                           12                            0                             14                            0                             26                            1065                          
JONESBORO 17                  3541                          66                            11                            88                            0                             165                           818                           55                            1278                          10                            2161                          27                            1                             17                            0                             45                            2371                          
JONESBORO 18                  2309                          67                            14                            126                           0                             207                           506                           31                            807                           1                             1345                          17                            1                             23                            0                             41                            1593                          
LAKE CITY                     2144                          59                            6                             89                            0                             154                           488                           29                            657                           4                             1178                          18                            1                             10                            0                             29                            1361                          
LOVEJOY 1                     2898                          94                            14                            206                           0                             314                           583                           43                            1150                          1                             1777                          19                            2                             20                            0                             41                            2132                          
LOVEJOY 2                     2342                          44                            18                            135                           0                             197                           393                           33                            993                           2                             1421                          11                            1                             13                            0                             25                            1643                          
LOVEJOY 3                     4664                          124                           30                            418                           0                             572                           779                           67                            1842                          8                             2696                          19                            1                             36                            0                             56                            3324                          
LOVEJOY 4                     3070                          67                            11                            154                           0                             232                           491                           45                            1485                          2                             2023                          14                            2                             11                            0                             27                            2282                          
LOVEJOY 5                     2221                          53                            10                            84                            0                             147                           453                           18                            895                           1                             1367                          11                            1                             18                            0                             30                            1544                          
MORROW 1                      2198                          55                            11                            62                            0                             128                           650                           32                            639                           3                             1324                          19                            1                             9                             0                             29                            1481                          
MORROW 2                      1500                          94                            28                            216                           0                             338                           230                           24                            424                           0                             678                           7                             2                             13                            0                             22                            1038                          
MORROW 3                      3277                          108                           32                            197                           1                             338                           659                           55                            1117                          2                             1833                          21                            1                             18                            0                             40                            2211                          
MORROW 4                      1482                          78                            19                            138                           0                             235                           314                           28                            388                           1                             731                           11                            0                             19                            0                             30                            996                           
MORROW 5                      3817                          75                            25                            309                           1                             410                           580                           57                            1788                          0                             2425                          19                            1                             32                            0                             52                            2887                          
MORROW 6                      2058                          63                            9                             171                           0                             243                           441                           34                            736                           4                             1215                          12                            1                             23                            0                             36                            1494                          
MORROW 7                      1429                          64                            16                            84                            0                             164                           350                           18                            392                           2                             762                           13                            1                             4                             0                             18                            944                           
MORROW 8                      2182                          33                            7                             74                            1                             115                           445                           30                            998                           0                             1473                          13                            2                             19                            0                             34                            1622                          
MORROW 9                      1059                          42                            5                             65                            2                             114                           194                           16                            398                           6                             614                           9                             2                             10                            0                             21                            749                           
OAK 1                         1750                          17                            0                             19                            0                             36                            503                           19                            565                           2                             1089                          7                             0                             8                             0                             15                            1140                          
OAK 2                         1282                          17                            5                             19                            0                             41                            347                           17                            329                           1                             694                           8                             0                             8                             0                             16                            751                           
OAK 3                         2945                          30                            4                             33                            0                             67                            788                           34                            871                           3                             1696                          14                            0                             14                            0                             28                            1791                          
