




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
ALLGOOD ELEM                  2174                          1817                          83.58%
ASHFORD DUNWOODY RD           2500                          2153                          86.12%
ASHFORD PARK ELEM             2053                          1778                          86.60%
ASHFORD PARKSIDE              2991                          2543                          85.02%
AUSTIN                        2281                          1997                          87.55%
AUSTIN DRIVE                  1891                          1209                          63.93%
AVONDALE                      2487                          2230                          89.67%
AVONDALE HIGH - 04            1468                          1199                          81.68%
AVONDALE HIGH - 05            1240                          1001                          80.73%
BETHUNE MIDDLE                3549                          2542                          71.63%
BOULDERCREST RD               1589                          1190                          74.89%
BOULEVARD                     3756                          3033                          80.75%
BRIAR VISTA ELEM              2386                          1928                          80.80%
BRIARCLIFF                    2508                          2046                          81.58%
BRIARLAKE ELEM                1545                          1317                          85.24%
BRIARWOOD                     1918                          1514                          78.94%
BROCKETT                      2064                          1655                          80.18%
BROCKETT ELEM                 2139                          1698                          79.38%
BROOKHAVEN                    2899                          2378                          82.03%
BROWNS MILL ELEM              3105                          2451                          78.94%
BURGESS ELEM                  2527                          1983                          78.47%
CANBY LANE ELEM               1588                          1141                          71.85%
CANDLER                       2588                          1656                          63.99%
CANDLER-MURPHEY CANDLER ELEM  2460                          1891                          76.87%
CEDAR GROVE ELEM              3235                          2605                          80.53%
CEDAR GROVE MIDDLE            1339                          861                           64.30%
CEDAR GROVE SOUTH             3011                          2373                          78.81%
CHAMBLEE                      1402                          1093                          77.96%
CHAMBLEE 2                    2212                          1813                          81.96%
CHAPEL HILL ELEM              2597                          2018                          77.71%
CHESNUT ELEM                  1862                          1442                          77.44%
CLAIREMONT EAST               2815                          2473                          87.85%
CLAIREMONT WEST               2847                          2483                          87.21%
CLAIRMONT ROAD                2573                          1981                          76.99%
CLARKSTON                     4226                          2770                          65.55%
CLIFTON ELEM                  1328                          987                           74.32%
COLUMBIA DRIVE                1867                          1218                          65.24%
COLUMBIA ELEM                 1358                          787                           57.95%
COLUMBIA MIDDLE               1625                          1006                          61.91%
CORALWOOD                     2752                          2403                          87.32%
COVINGTON                     1668                          989                           59.29%
COVINGTON HWY LIBRARY         953                           390                           40.92%
CROSS KEYS HIGH               1748                          1396                          79.86%
CROSSROADS                    2293                          1705                          74.36%
DORAVILLE NORTH               2216                          1555                          70.17%
DORAVILLE SOUTH               1010                          750                           74.26%
DRESDEN ELEM                  3844                          2817                          73.28%
DRUID HILLS HIGH              2535                          1965                          77.51%
DUNAIRE ELEM                  1603                          1177                          73.42%
DUNWOODY                      2468                          1938                          78.53%
DUNWOODY HIGH                 1772                          1567                          88.43%
DUNWOODY LIBRARY              2234                          1966                          88.00%
EAST LAKE ELEM                3211                          2448                          76.24%
EMBRY HILLS                   1695                          1413                          83.36%
EMORY ROAD                    1130                          839                           74.25%
EMORY SOUTH                   2943                          2412                          81.96%
EPWORTH                       3505                          3070                          87.59%
EVANSDALE ELEM                2389                          1867                          78.15%
FAIRINGTON ELEM               3724                          2361                          63.40%
FERNBANK ELEM                 1937                          1723                          88.95%
FLAKES MILL FIRE STATION      1569                          1187                          75.65%
FLAT ROCK ELEM                2332                          1817                          77.92%
FLAT SHOALS                   1825                          1159                          63.51%
FLAT SHOALS ELEM              1744                          1182                          67.78%
FLAT SHOALS LIBRARY           1961                          1262                          64.35%
FLAT SHOALS PARKWAY           2816                          2201                          78.16%
FREEDOM MIDDLE                2419                          1745                          72.14%
GEORGETOWN SQUARE             3139                          2335                          74.39%
GLENHAVEN                     1321                          931                           70.48%
GLENNWOOD - 04                770                           674                           87.53%
GLENNWOOD - 05                1117                          858                           76.81%
GLENWOOD ROAD                 1582                          1060                          67.00%
GRESHAM ROAD                  2737                          1953                          71.36%
HAMBRICK ELEM                 2703                          1913                          70.77%
HARRIS-MARGARET HARRIS ED     1563                          1278                          81.77%
HARRIS-NARVIE J. HARRIS ELEM  3065                          2308                          75.30%
HAWTHORNE ELEM                3166                          2425                          76.60%
HENDERSON MILL ELEM           2595                          2128                          82.00%
HUGH HOWELL                   1569                          1364                          86.93%
HUNTLEY HILLS ELEM            2560                          1968                          76.88%
IDLEWOOD ELEM                 1739                          1290                          74.18%
INDIAN CREEK ELEM             1670                          1039                          62.22%
JOHNSON ESTATES               1077                          944                           87.65%
JOLLY ELEM                    2513                          1746                          69.48%
KELLEY CHAPEL ROAD            1133                          866                           76.43%
KELLEY LAKE ELEM              2401                          1588                          66.14%
KING-ML KING JR HIGH          3652                          2923                          80.04%
KINGSLEY ELEM                 2208                          1901                          86.10%
KNOLLWOOD ELEM                1894                          1309                          69.11%
KITTREDGE ELEM                1884                          1611                          85.51%
LAKESIDE HIGH                 2760                          2383                          86.34%
LAVISTA                       2602                          1951                          74.98%
LAVISTA ROAD                  1856                          1512                          81.47%
LIN-MARY LIN ELEM             2609                          2214                          84.86%
LITHONIA                      1036                          684                           66.02%
LITHONIA HIGH                 2467                          1683                          68.22%
LIVSEY ELEM                   1295                          1126                          86.95%
MARBUT ELEM                   3372                          2403                          71.26%
MATHIS-BOB MATHIS ELEM        2273                          1826                          80.33%
MCLENDON                      1972                          1451                          73.58%
MCNAIR ACADEMY                1628                          1219                          74.88%
MCNAIR HIGH                   3081                          2290                          74.33%
MCNAIR MIDDLE                 1925                          1323                          68.73%
MCWILLIAMS                    1884                          1452                          77.07%
MEADOWVIEW ELEM               2733                          1900                          69.52%
MEDLOCK ELEM                  1928                          1652                          85.68%
MEMORIAL SOUTH                2182                          1302                          59.67%
METROPOLITAN                  2557                          1981                          77.47%
MIDVALE ELEM                  1828                          1578                          86.32%
MIDVALE ROAD                  2437                          2016                          82.72%
MIDWAY ELEM                   2296                          1457                          63.46%
MILLER-ELDRIDGE L. MILLER ELEM   2555                          1863                          72.92%
MILLER GROVE HIGH             2378                          1540                          64.76%
MILLER GROVE MIDDLE           3263                          2109                          64.63%
MILLER GROVE ROAD             1775                          1416                          79.77%
MONTCLAIR ELEM                1699                          1181                          69.51%
MONTGOMERY ELEM               2072                          1757                          84.80%
MONTREAL                      1407                          1128                          80.17%
MT. VERNON EAST               2273                          1969                          86.63%
MT. VERNON WEST               1952                          1685                          86.32%
NORTH DECATUR                 1496                          1101                          73.60%
NORTH HAIRSTON                1747                          1242                          71.09%
NORTH PEACHTREE               1483                          1113                          75.05%
NORTHLAKE                     1271                          1098                          86.39%
OAK GROVE ELEM                1930                          1668                          86.42%
OAK VIEW ELEM                 3735                          2667                          71.41%
OAKCLIFF ELEM                 1452                          1005                          69.21%
OAKHURST                      2519                          2205                          87.53%
PANOLA                        1182                          909                           76.90%
PANOLA ROAD                   1632                          1214                          74.39%
PANOLA WAY ELEM               1650                          1041                          63.09%
PEACHCREST ELEM               1703                          1123                          65.94%
PEACHTREE MIDDLE              2774                          2151                          77.54%
PINE LAKE                     512                           429                           83.79%
PINEY GROVE                   1553                          1016                          65.42%
PLEASANTDALE ELEM             3192                          2102                          65.85%
PONCE DE LEON                 2176                          1779                          81.76%
PRINCETON ELEM                1811                          1398                          77.19%
RAINBOW ELEM                  2979                          2298                          77.14%
REDAN ELEM                    2427                          1816                          74.82%
REDAN MIDDLE                  1978                          1483                          74.97%
REDAN ROAD                    2171                          1539                          70.89%
REDAN-TROTTI LIBRARY          2996                          2174                          72.56%
REHOBOTH                      1811                          1533                          84.65%
RENFROE MIDDLE                1445                          1257                          86.99%
ROCK CHAPEL ELEM              2161                          1618                          74.87%
ROCK CHAPEL ROAD              2948                          2230                          75.64%
ROCKBRIDGE ELEM               2726                          1734                          63.61%
ROCKBRIDGE ROAD               2902                          2310                          79.60%
ROWLAND ELEM                  2810                          1739                          61.89%
ROWLAND ROAD                  1588                          1192                          75.06%
SAGAMORE HILLS ELEM           2614                          2297                          87.87%
SALEM MIDDLE                  2826                          2282                          80.75%
SCOTT                         2096                          1743                          83.16%
SHADOW ROCK ELEM              3370                          2657                          78.84%
SHAMROCK                      1365                          1174                          86.01%
SHAW-ROBERT SHAW ELEM         2740                          2093                          76.39%
SILVER LAKE                   3915                          3139                          80.18%
SKYLAND                       1582                          1314                          83.06%
SMOKE RISE ELEM               1828                          1577                          86.27%
SNAPFINGER ELEM               1524                          1171                          76.84%
SNAPFINGER ROAD NORTH         1927                          1275                          66.17%
SNAPFINGER ROAD SOUTH         1610                          1272                          79.01%
SOUTH DESHON                  2714                          2021                          74.47%
SOUTH HAIRSTON                2871                          2033                          70.81%
STEPHENSON HIGH               2695                          2056                          76.29%
STEPHENSON MIDDLE             2902                          2238                          77.12%
STONE MILL ELEM               2463                          1372                          55.70%
STONE MOUNTAIN CHAMPION       2223                          1466                          65.95%
STONE MOUNTAIN ELEM           1904                          1493                          78.41%
STONE MOUNTAIN LIBRARY        1209                          842                           69.64%
STONE MOUNTAIN MIDDLE         2209                          1186                          53.69%
STONEVIEW ELEM                1295                          837                           64.63%
TERRY MILL ELEM               2119                          1523                          71.87%
TILLY MILL ROAD               1363                          1180                          86.57%
TONEY ELEM                    1372                          976                           71.14%
TUCKER                        2611                          2192                          83.95%
TUCKER LIBRARY                2245                          1798                          80.09%
VALLEY BROOK                  814                           672                           82.56%
WADSWORTH ELEM - 05           713                           503                           70.55%
WADSWORTH ELEM - 04           1691                          1132                          66.94%
WARREN TECH                   1076                          843                           78.35%
WESLEY CHAPEL LIBRARY         2470                          1982                          80.24%
WHITE OAK                     2156                          1434                          66.51%
WHITEFOORD ELEM               3138                          2354                          75.02%
WINNONA PARK ELEM             1763                          1522                          86.33%
WINTERS CHAPEL                1248                          1084                          86.86%
WOODRIDGE ELEM                2830                          1992                          70.39%
WOODROW ROAD                  4871                          3387                          69.53%
WOODWARD ELEM                 1893                          1470                          77.65%
WYNBROOKE ELEM                2842                          2279                          80.19%
YOUNG ROAD                    1562                          1213                          77.66%
Total:                        419871                        319285                        76.04%

                                                                                                                                                                                                                                                                                                                           President of the United States
                                                            DONALD J. TRUMP                                                                                                                                                                                                   HILLARY CLINTON                                                                                                                                                                                                   GARY JOHNSON                                                                                                                                                                                                      
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Advance in Person 3           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Advance in Person 3           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Advance in Person 3           Provisional                   Choice Total                  Total                         
ALLGOOD ELEM                  2174                          81                            16                            65                            10                            0                             0                             172                           489                           175                           819                           74                            25                            2                             1584                          11                            2                             11                            2                             0                             0                             26                            1782                          
ASHFORD DUNWOODY RD           2500                          424                           58                            11                            398                           7                             0                             898                           426                           87                            11                            557                           7                             0                             1088                          57                            12                            0                             42                            0                             0                             111                           2097                          
ASHFORD PARK ELEM             2053                          403                           39                            5                             357                           5                             0                             809                           322                           41                            17                            393                           10                            1                             784                           66                            4                             0                             54                            1                             0                             125                           1718                          
ASHFORD PARKSIDE              2991                          436                           67                            6                             427                           19                            1                             956                           539                           243                           30                            572                           31                            3                             1418                          54                            7                             1                             40                            3                             0                             105                           2479                          
AUSTIN                        2281                          467                           80                            4                             50                            463                           1                             1065                          276                           74                            5                             68                            362                           1                             786                           49                            5                             1                             2                             33                            0                             90                            1941                          
