




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
01A                           2714                          2221                          81.83%
01B                           3337                          2748                          82.35%
01C                           1120                          620                           55.36%
01D                           430                           307                           71.40%
01E                           4652                          3462                          74.42%
01F                           981                           482                           49.13%
01H                           661                           419                           63.39%
01J                           2030                          1265                          62.32%
01P                           1000                          615                           61.50%
01R                           1107                          581                           52.48%
01S                           1391                          848                           60.96%
01T                           1196                          785                           65.64%
02A                           3211                          2450                          76.30%
02B                           2895                          1294                          44.70%
02C                           1725                          1295                          75.07%
02D                           3582                          2591                          72.33%
02E                           1733                          1466                          84.59%
02F1                          2589                          2080                          80.34%
02F2                          669                           491                           73.39%
02G                           2959                          2375                          80.26%
02J                           1934                          2219                          114.74%
02K                           1246                          1027                          82.42%
02L1                          4934                          3790                          76.81%
02L2                          971                           746                           76.83%
02S                           620                           447                           72.10%
02W                           422                           301                           71.33%
03A                           1673                          803                           48.00%
03B                           494                           208                           42.11%
03C                           1294                          780                           60.28%
03D                           837                           416                           49.70%
03E                           1776                          961                           54.11%
03F                           1647                          1203                          73.04%
03G                           602                           327                           54.32%
03H                           770                           416                           54.03%
03I                           1394                          901                           64.63%
03L                           478                           219                           45.82%
03M                           663                           478                           72.10%
03N                           1860                          960                           51.61%
03P1A                         3011                          2017                          66.99%
03P2                          26                            22                            84.62%
03S                           600                           354                           59.00%
03T                           1320                          783                           59.32%
04A                           981                           530                           54.03%
04B                           1924                          997                           51.82%
04C                           111                           64                            57.66%
04D                           1239                          745                           60.13%
04F                           1792                          976                           54.46%
04G                           667                           326                           48.88%
04I                           2328                          594                           25.52%
04J                           1113                          437                           39.26%
04K                           1952                          1231                          63.06%
04L                           1296                          813                           62.73%
04M                           637                           335                           52.59%
04S                           1820                          1175                          64.56%
04T                           922                           563                           61.06%
04V                           2264                          1259                          55.61%
04W                           1696                          739                           43.57%
04X1                          1525                          995                           65.25%
04X2                          608                           350                           57.57%
05A1                          2154                          1738                          80.69%
05A2                          2209                          1720                          77.86%
05B                           1475                          961                           65.15%
05C                           135                           71                            52.59%
05D                           312                           135                           43.27%
05F                           104                           81                            77.88%
05J                           527                           422                           80.08%
05K                           2203                          1423                          64.59%
06B                           1603                          1316                          82.10%
06D                           7478                          6130                          81.97%
06E                           1961                          1555                          79.30%
06F                           2381                          1895                          79.59%
06G                           464                           383                           82.54%
06I                           2553                          1820                          71.29%
06J                           2271                          1939                          85.38%
06L1                          827                           697                           84.28%
06L2                          599                           503                           83.97%
06N                           1704                          1242                          72.89%
06Q                           429                           296                           69.00%
06R                           1515                          1172                          77.36%
07A                           5418                          4201                          77.54%
07B                           2599                          2218                          85.34%
07C                           3351                          2619                          78.16%
07D                           3269                          2489                          76.14%
07E                           1748                          1423                          81.41%
07F                           2570                          2048                          79.69%
07H                           1790                          1480                          82.68%
07J                           2359                          1954                          82.83%
07M                           1851                          1333                          72.02%
07N                           1561                          1063                          68.10%
08A                           2482                          2018                          81.31%
08B                           2895                          2394                          82.69%
08C                           1254                          1007                          80.30%
08D                           947                           787                           83.10%
08E                           2312                          1971                          85.25%
08F1                          1921                          1641                          85.42%
08G                           2464                          1716                          69.64%
08H                           2211                          1843                          83.36%
08J                           2441                          2143                          87.79%
08K                           924                           754                           81.60%
08L                           3357                          2692                          80.19%
08M                           1583                          1352                          85.41%
08N1                          711                           603                           84.81%
08N2                          1143                          961                           84.08%
08P                           1195                          871                           72.89%
09A                           2755                          2189                          79.46%
09B                           318                           205                           64.47%
09C                           2433                          1640                          67.41%
09D                           1604                          949                           59.16%
09E                           2095                          1331                          63.53%
09F                           3202                          2722                          85.01%
09G                           2681                          2081                          77.62%
09H                           837                           603                           72.04%
09I                           1073                          544                           50.70%
09K                           3588                          2028                          56.52%
09M                           1726                          1455                          84.30%
10A                           2418                          1792                          74.11%
10B                           3368                          2650                          78.68%
10C                           2113                          1305                          61.76%
10D                           3555                          2149                          60.45%
10E                           817                           569                           69.65%
10F                           901                           634                           70.37%
10G                           1109                          859                           77.46%
10H1                          333                           227                           68.17%
10H2                          1882                          1165                          61.90%
10I                           306                           262                           85.62%
10J                           797                           463                           58.09%
10K                           1213                          901                           74.28%
10M                           2075                          1322                          63.71%
10P                           1149                          750                           65.27%
10R                           595                           388                           65.21%
11B                           4347                          3181                          73.18%
11C                           2494                          1957                          78.47%
11E1                          967                           659                           68.15%
11E2                          719                           515                           71.63%
11E3                          2570                          1798                          69.96%
11G                           1840                          1021                          55.49%
11H                           548                           369                           67.34%
11J                           1575                          1045                          66.35%
11K                           1526                          1139                          74.64%
11M                           2554                          1652                          64.68%
11N                           1931                          1461                          75.66%
11P                           1574                          1064                          67.60%
11R                           1523                          804                           52.79%
12A                           3914                          2646                          67.60%
12D                           1048                          606                           57.82%
12E1                          1293                          619                           47.87%
12F                           781                           463                           59.28%
12G                           689                           462                           67.05%
12H                           2931                          1763                          60.15%
12I                           812                           444                           54.68%
12J                           2139                          1263                          59.05%
12K                           2446                          1444                          59.04%
12L                           471                           259                           54.99%
12M                           2073                          1296                          62.52%
12N                           729                           381                           52.26%
12S                           1474                          960                           65.13%
AP01A                         1739                          1393                          80.10%
AP01B                         685                           492                           71.82%
AP01C                         1952                          1608                          82.38%
AP01D                         713                           554                           77.70%
AP02B                         352                           246                           69.89%
AP03                          619                           417                           67.37%
AP04A                         1472                          1252                          85.05%
AP04B                         364                           322                           88.46%
AP05                          3956                          3257                          82.33%
AP06                          1647                          1340                          81.36%
AP07A                         2853                          2225                          77.99%
AP07B                         1353                          1146                          84.70%
