PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
EAST MACON 1,954,78,372,499,5,4,1,1,2,0,26,1,9,16,0,1769,Bibb
EAST MACON 2,1999,136,918,939,6,21,1,6,14,0,100,12,39,49,0,3110,Bibb
EAST MACON 3,1289,74,601,607,7,52,1,19,32,0,490,29,232,227,2,2700,Bibb
EAST MACON 4,1234,95,472,663,4,13,2,2,9,0,63,7,30,26,0,1855,Bibb
EAST MACON 5,1125,93,563,466,3,22,1,6,15,0,318,15,122,180,1,1983,Bibb
GODFREY 1,2689,192,1416,1062,19,67,1,30,34,2,189,13,102,74,0,5120,Bibb
GODFREY 2,773,45,385,337,6,10,0,3,6,1,68,2,40,25,1,1570,Bibb
GODFREY 3,1507,69,785,647,6,15,0,7,8,0,153,14,91,48,0,2679,Bibb
GODFREY 4,892,51,361,474,6,10,2,2,6,0,103,6,53,44,0,1735,Bibb
GODFREY 5,2195,103,1035,1046,11,38,1,12,25,0,286,14,150,121,1,3813,Bibb
HAZZARD 1,1555,65,809,673,8,13,1,4,8,0,230,20,112,98,0,2836,Bibb
HAZZARD 2,1176,36,536,594,10,61,0,15,45,1,1125,60,424,639,2,3116,Bibb
HAZZARD 3,2675,132,1518,1009,16,74,11,25,38,0,1108,83,549,475,1,5537,Bibb
HAZZARD 4,445,23,261,159,2,23,4,5,14,0,1004,52,523,425,4,1749,Bibb
HAZZARD 5,709,35,345,329,0,37,2,7,28,0,1000,48,409,543,0,2155,Bibb
HOWARD 1,429,17,198,212,2,33,1,8,24,0,657,46,221,390,0,1431,Bibb
HOWARD 2,851,98,453,298,2,61,8,18,35,0,1771,189,780,800,2,3315,Bibb
HOWARD 3,2179,144,1134,895,6,158,11,45,102,0,3100,179,1312,1605,4,7049,Bibb
HOWARD 4,448,21,218,207,2,46,2,9,35,0,590,35,234,316,5,1370,Bibb
HOWARD 5,459,20,197,240,2,47,3,12,32,0,460,27,150,282,1,1295,Bibb
HOWARD 6,526,29,273,221,3,59,4,15,40,0,814,57,376,380,1,1788,Bibb
HOWARD 7,568,43,279,244,2,69,3,25,40,1,1182,70,469,641,2,2229,Bibb
RUTLAND 1,1315,49,762,502,2,57,3,21,33,0,2297,76,951,1270,0,4434,Bibb
RUTLAND 2,641,41,361,239,0,50,4,15,31,0,1378,69,460,846,3,2613,Bibb
VINEVILLE 1,1233,132,634,461,6,95,2,43,50,0,581,38,271,268,4,2936,Bibb
VINEVILLE 2,842,72,393,373,4,41,1,17,23,0,281,13,110,158,0,1776,Bibb
VINEVILLE 3,1485,91,737,649,8,18,0,7,11,0,126,12,57,56,1,2422,Bibb
VINEVILLE 4,1944,106,867,965,6,31,1,14,16,0,223,13,116,94,0,3392,Bibb
VINEVILLE 5,557,27,267,261,2,60,3,22,35,0,912,46,387,478,1,1936,Bibb
VINEVILLE 6,833,63,376,388,6,90,6,18,65,1,944,87,292,562,3,2553,Bibb
WARRIOR 1,554,28,299,227,0,32,0,9,23,0,1131,41,357,732,1,2072,Bibb
WARRIOR 2,706,33,440,232,1,40,5,10,24,1,1333,39,570,723,1,2516,Bibb
