COUNTY,PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE
Chatham,FIRST PRESBYTERIAN CHURCH,1285,119,397,767,2,129,10,15,104,0,917,52,193,670,2,2826
Chatham,JEA BUILDING,735,51,249,434,1,89,2,10,77,0,559,32,143,384,0,1829
Chatham,CENTRAL CHURCH OF CHRIST,563,54,267,242,0,53,4,6,43,0,793,61,257,475,0,1752
Chatham,GRACE UNITED METHODIST CHURCH,437,23,191,223,0,38,3,7,28,0,599,36,170,393,0,1384
Chatham,IMMANUEL BAPTIST CHURCH,217,10,93,114,0,10,0,1,9,0,160,8,57,95,0,596
Chatham,ISLE OF HOPE SCHOOL,199,14,73,112,0,27,0,3,24,0,568,18,138,412,0,943
Chatham,ISLE OF HOPE BAPTIST,417,34,148,235,0,54,5,4,45,0,978,52,303,623,0,1747
Chatham,THE SANCTUARY,294,8,117,169,0,39,0,8,31,0,476,17,146,313,0,1052
Chatham,ST LUKE CHURCH,391,26,189,176,0,32,1,6,25,0,734,27,284,422,1,1417
Chatham,FERGUSON AVE BAPTIST,448,10,162,276,0,59,3,8,48,0,1329,38,353,936,2,2261
Chatham,ISLANDS CHRISTIAN CH,628,71,256,301,0,88,4,17,67,0,1449,74,582,793,0,2646
Chatham,BLACKSHEAR COMMUNITY CENTER,634,33,171,427,3,25,1,3,21,0,149,4,51,94,0,1403
Chatham,W W LAW CENTER,675,47,168,459,1,28,0,5,23,0,108,3,35,70,0,1340
Chatham,FELLOWSHIP OF LOVE COMMUNITY CHURCH,1537,94,470,972,1,31,0,6,25,0,64,5,14,45,0,2562
Chatham,HOLY SPIRIT LUTHERAN CHURCH,953,45,266,641,1,35,0,7,28,0,108,3,36,69,0,1712
Chatham,ELI WHITNEY COMPLEX,245,13,47,185,0,10,1,1,8,0,37,2,8,27,0,474
Chatham,CHRIST COMMUNITY CHURCH AT MORNINGSIDE,1278,32,403,841,2,52,0,8,44,0,197,6,53,137,1,2270
Chatham,SALVATION ARMY,1553,65,518,970,0,55,1,8,46,0,202,12,58,132,0,2723
Chatham,S GARDENS CHRISTIAN,768,45,205,518,0,29,0,12,17,0,153,8,41,104,0,1490
Chatham,WILLIAMS COURT APTS,657,38,169,448,2,40,0,6,34,0,96,4,25,67,0,1257
Chatham,OLD COURTHOUSE,168,9,54,105,0,14,0,2,12,0,123,4,32,87,0,413
Chatham,ROSE OF SHARON,614,37,193,382,2,45,0,6,39,0,361,15,106,240,0,1394
Chatham,SAVANNAH HIGH SCHOOL,472,16,118,338,0,7,0,0,7,0,58,2,12,44,0,904
Chatham,FIRST AFRICAN BAPTIST CHURCH,772,46,173,553,0,8,1,1,6,0,44,2,9,33,0,1273
Chatham,ALDERSGATE YOUTH CENTER,733,27,182,524,0,48,0,7,41,0,257,13,63,181,0,1629
Chatham,JENKINS HIGH SCHOOL,462,20,158,283,1,14,1,2,11,0,217,18,62,137,0,943
Chatham,COKESBURY METHODIST CHURCH,171,12,56,103,0,12,0,2,9,1,273,14,49,210,0,568
Chatham,BIBLE BAPTIST CHURCH,1227,50,452,723,2,27,1,7,18,1,200,10,58,132,0,2145
Chatham,SOUTHSIDE BAPTIST CH,609,11,181,416,1,19,0,6,13,0,152,7,43,102,0,1145
Chatham,THUNDERBOLT MUN COMP,552,38,140,374,0,41,1,9,31,0,449,23,89,335,2,1380
Chatham,NEW COV 7 DAY ADV CH,1289,38,356,895,0,35,0,10,25,0,455,7,166,282,0,3072
Chatham,RIVERVIEW HEALTH REH,1063,44,507,511,1,34,0,8,26,0,277,16,107,153,1,1886
Chatham,ELI WHITNEY COMPLEX,253,10,89,154,0,13,1,3,9,0,265,25,103,136,1,633
Chatham,FRANK MURRAY COMMUNITY CENTER,485,21,192,272,0,57,1,7,49,0,871,25,281,562,3,1880
