PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ALPINE,93,4,36,53,0,17,1,5,11,0,451,13,146,292,0,713,Chattooga
CLOUDLAND-TELOGA,98,6,44,48,0,15,0,11,4,0,478,14,171,293,0,739,Chattooga
COLDWATER,53,1,10,42,0,3,0,1,2,0,106,3,51,52,0,203,Chattooga
DIRTSELLER,16,0,3,13,0,0,0,0,0,0,106,3,42,61,0,156,Chattooga
DIRTTOWN,96,8,35,53,0,11,0,2,9,0,455,7,166,280,2,690,Chattooga
HAYWOOD,15,2,1,12,0,3,0,1,2,0,89,0,15,74,0,133,Chattooga
LYERLY,94,4,34,56,0,12,0,2,10,0,445,7,186,252,0,740,Chattooga
PENNVILLE,48,3,21,24,0,3,0,1,2,0,272,8,139,125,0,488,Chattooga
SEMINOLE,5,0,2,3,0,5,0,2,3,0,77,0,21,56,0,114,Chattooga
SUBLIGNA,30,0,12,18,0,5,0,0,5,0,295,5,91,199,0,391,Chattooga
SUMMERVILLE,759,40,453,265,1,67,4,32,31,0,2099,59,1390,648,2,4046,Chattooga
TRION,306,14,176,116,0,36,1,12,23,0,1589,25,861,702,1,2686,Chattooga
