PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
1A,937,54,423,455,5,58,0,16,42,0,618,33,223,362,0,2128,Clarke
1D,1192,80,621,491,0,94,1,35,58,0,711,67,313,330,1,2385,Clarke
2A,1559,74,721,755,9,42,1,18,23,0,325,22,147,156,0,2778,Clarke
2B,2038,108,1017,910,3,97,3,49,44,1,218,7,93,116,2,3776,Clarke
3A,1060,64,568,428,0,48,2,17,29,0,131,9,63,59,0,2001,Clarke
3B,2093,88,1267,733,5,143,0,73,70,0,642,30,340,272,0,4278,Clarke
4A,726,22,410,291,3,80,3,34,43,0,263,13,127,122,1,1691,Clarke
4B,1972,88,1185,692,7,173,6,72,95,0,713,27,350,333,3,4007,Clarke
5A,1262,65,689,507,1,87,2,37,48,0,581,45,301,234,1,2467,Clarke
5B,1198,53,632,512,1,68,3,26,39,0,500,42,253,205,0,2248,Clarke
5C,1246,53,702,490,1,39,4,11,24,0,154,9,71,74,0,1800,Clarke
5D,1110,46,518,542,4,45,0,15,30,0,325,27,146,151,1,2067,Clarke
6A,947,53,465,429,0,73,3,28,42,0,845,68,363,414,0,2433,Clarke
6C,1077,63,612,397,5,111,3,51,57,0,839,42,414,381,2,2582,Clarke
6D,733,37,358,338,0,56,3,20,33,0,287,23,114,150,0,1371,Clarke
7B,1222,127,657,436,2,107,6,38,62,1,704,84,374,246,0,2691,Clarke
7C,1075,67,582,423,3,113,4,58,51,0,637,34,308,293,2,2388,Clarke
8A,1233,59,639,533,2,91,4,48,39,0,533,46,249,238,0,2587,Clarke
8B,866,58,442,363,3,64,1,21,42,0,372,39,180,151,2,1724,Clarke
8C,1412,101,751,559,1,120,8,48,63,1,590,41,266,281,2,2979,Clarke
GAINES SCHOOL,1271,67,735,466,3,72,5,20,47,0,705,69,348,287,1,2805,Clarke
GEORGIA SQUARE MALL,1387,64,838,485,0,74,7,29,38,0,832,71,464,294,3,2953,Clarke
TIMOTHY ELEMENTARY SCHOOL,1082,91,633,353,5,83,1,33,49,0,692,63,350,279,0,2403,Clarke
WHIT DAVIS SCHOOL,905,66,526,310,3,81,4,35,42,0,500,28,222,250,0,1869,Clarke
