PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ABILENE BAPTIST,343,18,165,160,0,40,4,13,23,0,880,54,438,387,1,1625,Columbia
AUGUSTA CHRISTIAN,423,32,219,172,0,58,1,21,36,0,967,60,496,411,0,1855,Columbia
BELAIR BAPTIST CHURCH,457,20,263,172,2,60,3,17,40,0,1039,53,586,400,0,1979,Columbia
BESSIE THOMAS CENTER,160,14,73,73,0,26,0,7,19,0,1074,31,457,586,0,1556,Columbia
BLANCHARD PARK,257,23,120,114,0,39,2,17,20,0,822,50,414,357,1,1419,Columbia
BLUERIDGE ELEMENTARY,420,20,231,168,1,66,1,24,40,1,989,42,584,363,0,1867,Columbia
"CHRIST CHURCH, PRESBYTERIAN",441,34,291,116,0,97,10,39,48,0,1381,50,944,386,1,2362,Columbia
CHRIST SANCTIFIED,396,21,212,163,0,68,7,19,42,0,1109,31,682,396,0,2041,Columbia
CHRIST THE KING CH,414,46,267,100,1,31,2,15,14,0,1063,59,662,342,0,1842,Columbia
CHURCH OF OUR SAVIOR,486,40,238,207,1,50,6,15,29,0,876,48,425,403,0,1895,Columbia
COL CTY BOARD OF EDU,399,30,246,123,0,37,4,15,18,0,972,47,669,256,0,1769,Columbia
COL CTY MAIN LIBRARY,411,29,271,111,0,33,3,16,14,0,777,34,546,197,0,1563,Columbia
DAMASCUS BAPT CHURCH,68,11,21,36,0,11,0,1,10,0,576,14,224,338,0,798,Columbia
EUBANK/BLANCHARD CTR,208,22,61,125,0,17,1,7,9,0,673,17,270,386,0,1079,Columbia
G A APOSTOLIC CHURCH,256,11,130,115,0,18,2,6,10,0,701,21,274,404,2,1223,Columbia
GENESIS CHURCH,347,37,202,108,0,48,7,19,22,0,926,39,582,305,0,1603,Columbia
GOLD CROSS EMS,284,38,148,98,0,53,8,19,26,0,964,145,533,284,2,1651,Columbia
GOSPEL WATER BRANCH,392,21,218,153,0,31,0,17,14,0,712,19,467,226,0,1370,Columbia
GRACE BAPTIST CHURCH,767,43,496,228,0,74,3,26,45,0,1334,49,823,461,1,2675,Columbia
GREENBRIER HIGH,387,27,227,133,0,85,4,40,41,0,1393,42,837,513,1,2234,Columbia
GROVETOWN CITY HALL,812,32,391,389,0,75,2,33,40,0,883,29,385,468,1,2488,Columbia
GROVETOWN METHODIST,600,27,246,326,1,46,0,7,39,0,536,24,175,337,0,1723,Columbia
GROVETOWN MIDDLE SCH,713,26,326,361,0,69,3,18,48,0,695,25,313,357,0,2113,Columbia
HARLEM BAPTIST,423,48,115,260,0,23,0,7,16,0,605,15,166,423,1,1283,Columbia
HARLEM MIDDLE SCHOOL,248,25,95,128,0,27,0,4,23,0,890,43,313,533,1,1528,Columbia
JOURNEY COMM. CHURCH,107,9,67,31,0,20,2,12,6,0,459,19,300,139,1,700,Columbia
KIOKEE BAPT CHURCH,177,20,100,57,0,47,4,22,21,0,1524,62,828,634,0,2061,Columbia
LAKESIDE MIDDLE,349,13,187,148,1,58,3,17,38,0,812,15,448,348,1,1604,Columbia
LEWIS METHODIST,861,58,570,233,0,127,5,62,60,0,2014,72,1308,633,1,3632,Columbia
MARTINEZ BAPTIST,349,23,147,179,0,45,5,21,19,0,676,28,295,353,0,1423,Columbia
MARVIN METHODIST,388,16,187,185,0,49,1,13,35,0,770,26,334,410,0,1571,Columbia
MTZ COL FIRE DEPT #4,415,26,197,192,0,61,3,20,38,0,729,29,319,381,0,1637,Columbia
MTZ COL FIRE HDQTR.,269,15,130,124,0,32,3,11,18,0,491,14,220,257,0,1031,Columbia
PATRIOTS PARK,1079,53,700,326,0,150,6,73,71,0,1753,67,1110,576,0,3945,Columbia
PHILADELPHIA CHURCH,429,32,190,207,0,68,4,31,33,0,750,22,362,366,0,1667,Columbia
REDEEMER CHURCH,783,43,489,251,0,98,6,32,60,0,1911,60,1180,671,0,3440,Columbia
RIVERSIDE ELEMENTARY,267,18,175,74,0,28,1,9,18,0,624,36,388,200,0,1166,Columbia
SECOND MT. CARMEL BAPTIST CHURCH,286,21,108,157,0,4,0,2,2,0,188,4,94,90,0,592,Columbia
STEVENS CREEK CHURCH,523,46,350,127,0,45,3,21,21,0,1348,61,984,303,0,2320,Columbia
STEVENS CREEK ELEM,290,34,173,83,0,23,4,10,9,0,887,48,604,235,0,1439,Columbia
TRINITY BAPT CHURCH,156,7,66,83,0,21,2,3,16,0,596,20,276,300,0,973,Columbia
WARREN BAPTIST CHURCH-GROVETOWN,702,34,393,275,0,51,1,14,36,0,638,17,297,324,0,1931,Columbia
WESLEY METHODIST,452,29,278,144,1,39,2,16,21,0,1377,51,897,428,1,2266,Columbia
WEST ACRES BAPTIST,411,43,244,123,1,64,2,26,36,0,1170,44,742,381,3,2075,Columbia
WESTSIDE BAPT CHURCH,275,19,136,120,0,32,1,10,21,0,859,37,424,398,0,1376,Columbia
WOODLAWN BAPT CHURCH,207,17,120,70,0,26,1,5,20,0,672,29,395,248,0,1102,Columbia
