PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ALLGOOD ELEM,1584,175,918,489,2,26,2,13,11,0,172,16,75,81,0,2174,DeKalb
ASHFORD DUNWOODY RD (BHAVN),1088,87,575,426,0,111,12,42,57,0,898,58,416,424,0,2500,DeKalb
ASHFORD PARK ELEM (BHAVN),784,41,420,322,1,125,4,55,66,0,809,39,367,403,0,2053,DeKalb
ASHFORD PARKSIDE (BHAVN),1418,243,633,539,3,105,7,44,54,0,956,67,452,436,1,2991,DeKalb
AUSTIN (DUN),786,74,435,276,1,90,5,36,49,0,1065,80,517,467,1,2281,DeKalb
AUSTIN DRIVE,1110,28,678,398,6,21,0,4,17,0,61,5,26,29,1,1891,DeKalb
AVONDALE (AVO),1486,58,837,591,0,134,4,26,104,0,551,28,201,322,0,2487,DeKalb
AVONDALE HIGH,1804,101,1131,572,0,64,1,23,40,0,260,28,109,123,0,2708,DeKalb
BETHUNE MIDDLE,2411,109,1595,699,8,23,0,14,9,0,81,2,41,36,2,3549,DeKalb
BOULDERCREST ROAD,1112,23,616,471,2,11,0,5,6,0,53,6,27,20,0,1589,DeKalb
BOULEVARD (ATL),2581,97,1549,935,0,142,4,69,69,0,236,2,109,125,0,3756,DeKalb
BRIAR VISTA ELEM,1373,82,730,560,1,100,5,25,70,0,409,24,145,240,0,2386,DeKalb
BRIARCLIFF,1200,80,591,528,1,87,5,27,55,0,689,88,203,397,1,2508,DeKalb
BRIARLAKE ELEM,709,52,376,281,0,58,2,30,26,0,487,41,217,229,0,1545,DeKalb
BRIARWOOD (BHAVN),872,52,437,382,1,93,3,40,50,0,515,17,250,247,1,1918,DeKalb
BROCKETT (TUC),971,32,524,412,3,67,2,24,41,0,584,32,296,256,0,2064,DeKalb
BROCKETT ELEM (TUC),1048,42,691,312,3,62,4,34,24,0,546,19,357,170,0,2139,DeKalb
BROOKHAVEN (BHAVN),1169,69,620,478,2,142,10,57,75,0,993,30,446,514,3,2899,DeKalb
BROWNS MILL ELEM,2300,78,1501,719,2,36,0,17,19,0,80,10,35,35,0,3105,DeKalb
BURGESS ELEM (ATL),1730,70,975,684,1,76,0,28,48,0,133,4,51,78,0,2527,DeKalb
CANBY LANE ELEM,1085,43,647,392,3,8,1,5,2,0,31,1,17,13,0,1588,DeKalb
CANDLER,1518,61,871,580,6,44,0,25,19,0,67,1,24,42,0,2588,DeKalb
CANDLER-MURPHEY CANDLER ELEM,1705,64,1107,531,3,27,0,11,16,0,133,15,87,31,0,2460,DeKalb
CEDAR GROVE ELEM,2451,222,1538,683,8,33,7,17,9,0,92,25,32,35,0,3235,DeKalb
CEDAR GROVE MIDDLE,824,31,493,290,10,5,0,0,5,0,23,2,14,7,0,1339,DeKalb
CEDAR GROVE SOUTH,2239,45,1365,826,3,23,1,7,15,0,75,12,27,36,0,3011,DeKalb
CHAMBLEE (CHA),633,36,399,198,0,64,1,30,32,1,361,17,219,125,0,1402,DeKalb
CHAMBLEE 2 (CHA),970,42,652,276,0,117,6,63,48,0,687,30,441,215,1,2212,DeKalb
CHAPEL HILL ELEM,1913,64,1185,658,6,23,0,9,14,0,49,5,17,27,0,2597,DeKalb
CHESNUT ELEM (DUN),934,51,533,350,0,58,3,23,32,0,417,27,204,185,1,1862,DeKalb
CLAIREMONT EAST (DEC),1966,105,1232,629,0,97,1,36,60,0,351,20,173,158,0,2815,DeKalb
CLAIREMONT WEST (DEC),1997,158,1121,718,0,91,4,40,47,0,329,42,125,162,0,2847,DeKalb
CLAIRMONT ROAD,1424,147,702,574,1,86,5,19,62,0,426,74,144,207,1,2573,DeKalb
CLARKSTON (CLA),2396,67,1214,1110,5,53,2,13,38,0,230,19,100,111,0,4226,DeKalb
CLIFTON,919,21,559,339,0,14,0,9,5,0,39,2,18,19,0,1328,DeKalb
COLUMBIA DRIVE,1146,57,699,386,4,16,1,6,8,1,37,5,17,15,0,1867,DeKalb
COLUMBIA ELEM,746,24,408,312,2,14,1,5,8,0,8,0,6,2,0,1358,DeKalb
COLUMBIA MIDDLE,949,40,593,315,1,16,1,10,5,0,28,1,17,9,1,1625,DeKalb
CORALWOOD,1567,121,943,502,1,117,6,50,61,0,665,73,342,250,0,2752,DeKalb
COVINGTON,855,28,531,288,8,32,1,12,18,1,83,3,40,40,0,1668,DeKalb
COVINGTON HWY,349,13,179,157,0,7,0,4,3,0,19,0,11,8,0,953,DeKalb
CROSS KEYS HIGH (BHAVN),783,49,415,319,0,89,3,33,51,2,483,28,226,229,0,1748,DeKalb
CROSSROADS,1572,43,1068,459,2,29,1,13,15,0,78,4,45,29,0,2293,DeKalb
DORAVILLE NORTH (DOR),1080,44,474,559,3,66,3,25,38,0,380,28,141,211,0,2216,DeKalb
DORAVILLE SOUTH (DOR),489,10,217,262,0,41,0,15,26,0,203,17,62,124,0,1010,DeKalb
DRESDEN ELEM (CHA),1905,94,1003,806,2,124,5,35,84,0,726,43,351,332,0,3844,DeKalb
DRUID HILLS HIGH,1567,113,571,871,12,68,4,17,47,0,279,19,97,163,0,2535,DeKalb
DUNAIRE ELEM,993,36,567,385,5,19,3,6,10,0,133,6,77,50,0,1603,DeKalb
DUNWOODY (DUN),1071,78,629,363,1,87,4,36,46,1,723,66,400,256,1,2468,DeKalb
DUNWOODY HIGH (DUN),664,75,383,206,0,68,8,34,26,0,768,92,386,289,1,1772,DeKalb
DUNWOODY LIBRARY (DUN),780,79,488,212,1,82,7,31,44,0,1040,81,608,350,1,2234,DeKalb
EAST LAKE (ATL),2121,129,1346,644,2,85,3,42,40,0,191,4,103,84,0,3211,DeKalb
EMBRY HILLS,790,49,450,289,2,75,4,37,34,0,509,45,257,206,1,1695,DeKalb
EMORY ROAD,674,112,261,296,5,19,1,6,12,0,124,25,38,61,0,1130,DeKalb
EMORY SOUTH,1738,116,967,654,1,123,7,47,69,0,473,42,209,222,0,2943,DeKalb
EPWORTH (ATL),2611,155,1491,962,3,116,10,42,64,0,282,13,119,149,1,3505,DeKalb
EVANSDALE ELEM,1224,73,707,444,0,77,1,32,44,0,510,47,260,203,0,2389,DeKalb
FAIRINGTON ELEM,2253,52,1288,910,3,30,1,15,14,0,62,5,30,27,0,3724,DeKalb
FERNBANK ELEM,1303,130,702,470,1,63,3,26,34,0,320,19,128,173,0,1937,DeKalb
FLAKES MILL FIRE STATION,1132,29,659,443,1,10,1,5,4,0,29,2,10,17,0,1569,DeKalb
FLAT ROCK ELEM,1707,66,1176,463,2,26,0,16,10,0,58,5,36,17,0,2332,DeKalb
FLAT SHOALS,1099,59,689,348,3,25,0,11,14,0,26,1,10,15,0,1825,DeKalb
FLAT SHOALS ELEM,1128,33,638,457,0,15,1,2,12,0,24,1,12,11,0,1744,DeKalb
FLAT SHOALS LIBRARY,1194,40,684,464,6,16,0,3,12,1,26,2,14,10,0,1961,DeKalb
FLAT SHOALS PARKWAY,2085,77,1483,522,3,21,1,7,13,0,71,4,46,21,0,2816,DeKalb
FREEDOM MIDDLE,1531,63,877,582,9,25,0,15,10,0,161,14,99,48,0,2419,DeKalb
GEORGETOWN SQ (DUN),1305,50,765,488,2,110,4,44,62,0,853,50,408,393,2,3139,DeKalb
GLENHAVEN,808,16,439,351,2,28,1,14,13,0,75,4,27,40,4,1321,DeKalb
GLENNWOOD (DEC),1278,90,682,506,0,48,5,20,23,0,181,17,76,88,0,1887,DeKalb
GLENWOOD ROAD,969,36,543,387,3,15,0,8,7,0,56,6,32,18,0,1582,DeKalb
GRESHAM ROAD,1761,55,979,723,4,57,1,23,33,0,99,6,37,56,0,2737,DeKalb
HAMBRICK ELEM,1653,56,979,615,3,32,1,19,12,0,197,15,90,92,0,2703,DeKalb
HARRIS-MARGARET HARRIS ED,942,46,441,455,0,59,2,19,38,0,237,7,102,127,1,1563,DeKalb
HAWTHORNE ELEM,1681,68,949,663,1,91,8,37,46,0,591,37,281,273,0,3166,DeKalb
HENDERSON MILL ELEM,1313,97,786,428,2,94,7,42,45,0,665,47,391,227,0,2595,DeKalb
HUGH HOWELL,724,38,452,234,0,50,5,20,25,0,561,37,281,243,0,1569,DeKalb
HUNTLEY HILLS ELEM (CHA),1311,47,692,571,1,103,2,38,63,0,503,33,263,207,0,2560,DeKalb
IDLEWOOD ELEM (TUC),970,25,553,391,1,31,0,13,18,0,260,9,117,134,0,1739,DeKalb
INDIAN CREEK ELEM,845,29,444,369,3,33,0,9,24,0,136,10,67,57,2,1670,DeKalb
JOHNSON ESTATES (ATL),691,69,381,240,1,42,1,15,26,0,193,16,74,103,0,1077,DeKalb
JOLLY ELEM,1406,75,795,533,3,48,1,24,23,0,250,23,120,106,1,2513,DeKalb
KELLEY CHAPEL ROAD,809,34,519,252,4,12,0,7,5,0,37,0,11,26,0,1133,DeKalb
KELLEY LAKE ELEM,1497,56,836,601,4,25,0,7,18,0,44,0,23,21,0,2401,DeKalb
KING-ML KING JR HIGH,2804,111,2057,634,2,31,2,17,12,0,64,5,38,21,0,3652,DeKalb
KINGSLEY ELEM (DUN),724,89,415,220,0,79,4,29,46,0,1042,90,513,439,0,2208,DeKalb
KITTREDGE ELEM (BHAVN),789,70,479,237,3,98,7,49,42,0,679,55,390,233,1,1884,DeKalb
KNOLLWOOD,1193,36,626,526,5,39,0,12,27,0,46,1,21,24,0,1894,DeKalb
LAKESIDE HIGH,1393,109,805,479,0,100,7,27,66,0,813,100,402,310,1,2760,DeKalb
LAVISTA,1329,85,634,610,0,95,4,28,63,0,474,32,153,289,0,2602,DeKalb
LAVISTA ROAD,1019,84,489,445,1,58,4,19,35,0,396,24,127,245,0,1856,DeKalb
