PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ABERDEEN,338,20,221,97,0,44,0,28,16,0,845,28,607,209,1,1477,Fayette
ANTIOCH,423,21,246,156,0,62,1,29,32,0,854,30,488,336,0,1628,Fayette
BANKS,491,30,287,171,3,39,0,14,25,0,599,29,382,188,0,1404,Fayette
BLACKROCK,1215,50,871,293,1,56,4,29,23,0,628,56,408,164,0,2278,Fayette
BRAELINN,278,20,178,80,0,60,3,23,34,0,1097,48,706,343,0,1710,Fayette
BROOKS,194,16,88,90,0,62,7,24,31,0,1468,66,655,747,0,1956,Fayette
CAMP CREEK,382,35,258,89,0,53,2,20,31,0,953,35,649,269,0,1662,Fayette
DOGWOOD,608,24,402,181,1,66,9,30,27,0,1333,66,904,363,0,2373,Fayette
EUROPE,1903,71,1338,494,0,36,2,23,11,0,286,22,188,76,0,2676,Fayette
FAYETTEVILLE EAST,634,25,408,201,0,38,1,15,22,0,611,35,418,158,0,1642,Fayette
FAYETTEVILLE WEST,489,15,323,151,0,32,1,14,17,0,628,43,414,171,0,1469,Fayette
FIELDING RIDGE,789,46,529,213,1,117,8,64,45,0,1655,74,1061,520,0,3102,Fayette
FLAT CREEK,491,42,298,151,0,65,7,29,29,0,806,69,492,245,0,1724,Fayette
FLINT,562,33,351,177,1,27,1,11,15,0,493,26,294,172,1,1336,Fayette
HARPS CROSSING,359,21,218,120,0,29,2,7,20,0,837,41,507,289,0,1462,Fayette
HOPEFUL,731,23,465,243,0,44,2,17,25,0,612,34,330,248,0,1693,Fayette
JEFF DAVIS,985,44,678,261,2,44,2,22,20,0,714,69,458,186,1,2258,Fayette
KEDRON,899,43,569,287,0,87,4,48,35,0,1284,40,806,438,0,2896,Fayette
KENWOOD,519,8,341,168,2,16,1,5,10,0,156,6,84,66,0,865,Fayette
MCINTOSH,714,69,483,162,0,73,8,38,27,0,1549,79,1093,377,0,2840,Fayette
MORNING CREEK,1088,41,720,326,1,51,2,23,26,0,919,60,627,232,0,2475,Fayette
MURPHY,883,35,601,247,0,68,4,33,31,0,1215,50,813,352,0,2626,Fayette
OAK GROVE,266,13,159,93,1,55,4,19,32,0,661,25,381,254,1,1183,Fayette
OAK RIDGE,777,41,468,268,0,40,3,12,25,0,636,28,375,232,1,1798,Fayette
RAREOVER,550,15,409,126,0,76,4,41,31,0,1387,38,1068,281,0,2441,Fayette
RISING STAR,643,50,411,182,0,123,7,67,49,0,1711,72,1130,508,1,3081,Fayette
SANDY CREEK,1623,76,1159,388,0,73,2,34,37,0,1237,42,896,299,0,3600,Fayette
SHAKERAG EAST,316,13,186,115,2,53,3,29,21,0,687,28,433,226,0,1322,Fayette
SHAKERAG WEST,271,15,211,45,0,43,4,23,16,0,622,13,492,117,0,1132,Fayette
SPRING HILL,1029,50,746,233,0,63,8,31,24,0,1005,44,710,251,0,2598,Fayette
STARRSMILL,525,29,337,159,0,76,10,39,27,0,1902,77,1256,569,0,3049,Fayette
WHITEWATER,616,28,410,178,0,88,6,48,34,0,1786,96,1188,502,0,3042,Fayette
WILLOW POND,785,39,507,239,0,72,5,37,30,0,1051,54,681,315,1,2322,Fayette
WILLOWBEND,370,20,226,124,0,80,2,41,37,0,941,38,618,285,0,1680,Fayette
WINDGATE,225,12,116,97,0,39,3,10,26,0,468,2,278,188,0,893,Fayette
WOOLSEY,313,23,171,119,0,53,2,27,24,0,1412,62,736,614,0,2138,Fayette
