PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
01 BIG CREEK,3393,202,2429,761,1,481,27,301,153,0,7101,394,5325,1382,0,13270,Forsyth
02 BRANDYWINE,1745,72,954,719,0,193,10,71,111,1,1856,73,995,786,2,4888,Forsyth
03 BROWNS BRIDGE,1010,63,634,311,2,257,8,124,125,0,4862,184,3203,1470,5,7632,Forsyth
04 CHESTATEE,541,26,341,173,1,125,7,57,61,0,3451,120,2236,1092,3,5116,Forsyth
05 COAL MOUNTAIN,666,29,426,211,0,142,9,76,57,0,2772,63,1941,768,0,4448,Forsyth
06 CROSSROADS,590,18,429,142,1,157,6,112,39,0,3159,69,2442,647,1,4856,Forsyth
07 CUMMING,438,40,306,92,0,71,7,41,23,0,1361,74,1040,247,0,2454,Forsyth
08 MASHBURN,1174,70,790,314,0,235,10,133,92,0,4231,179,2918,1129,5,6769,Forsyth
10 MIDWAY,2808,134,2120,553,1,581,23,388,170,0,8567,249,6751,1566,1,14408,Forsyth
15 HEARDSVILLE,779,41,489,249,0,231,9,134,88,0,4097,110,2889,1095,3,6257,Forsyth
16 OTWELL,1450,91,926,433,0,318,13,192,112,1,5594,207,4109,1276,2,9223,Forsyth
19 OLD ATLANTA,1345,94,762,489,0,121,9,57,55,0,2568,124,1587,857,0,5027,Forsyth
21 SOUTH FORSYTH,2418,121,1746,550,1,349,20,226,103,0,5637,242,4357,1038,0,10362,Forsyth
25 WINDERMERE,1805,79,1178,547,1,216,10,110,96,0,3735,140,2405,1189,1,6935,Forsyth
27 CONCORD,860,49,562,249,0,231,9,140,82,0,4729,127,3318,1283,1,7067,Forsyth
29 POLO,2440,124,1594,716,6,383,14,207,161,1,6131,224,4398,1509,0,11136,Forsyth
