PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
01A,1898,83,995,815,5,97,4,39,54,0,173,5,69,99,0,2714,Fulton
01B,2304,78,959,1267,0,125,3,33,89,0,243,9,64,170,0,3337,Fulton
01C,580,15,221,344,0,13,0,3,10,0,19,0,5,14,0,1120,Fulton
01D,268,25,147,96,0,6,1,2,3,0,23,3,9,11,0,430,Fulton
01E,2932,119,1610,1193,10,144,2,48,93,1,283,10,132,141,0,4652,Fulton
01F,443,11,167,262,3,11,0,3,8,0,16,0,4,12,0,981,Fulton
01H,378,14,162,202,0,10,0,1,9,0,20,0,5,15,0,661,Fulton
01J,1159,38,605,511,5,35,0,21,14,0,41,1,19,20,1,2030,Fulton
01P,577,29,169,378,1,11,0,2,9,0,17,1,6,10,0,1000,Fulton
01R,564,5,130,419,10,7,0,3,3,1,7,0,1,6,0,1107,Fulton
01S,801,22,345,426,8,10,0,2,8,0,25,4,11,10,0,1391,Fulton
01T,695,21,260,414,0,20,0,9,11,0,49,3,19,27,0,1196,Fulton
02A,1814,146,1067,599,2,133,11,60,62,0,455,25,218,211,1,3211,Fulton
02B,1048,28,504,515,1,32,3,8,21,0,178,12,53,113,0,2895,Fulton
02C,1121,38,512,564,7,48,1,18,29,0,90,3,31,55,1,1725,Fulton
02D,2177,86,1069,1018,4,113,2,36,75,0,239,10,73,156,0,3582,Fulton
02E,1215,56,503,651,5,60,2,17,41,0,154,3,46,104,1,1733,Fulton
02F1,1704,68,941,692,3,107,2,43,62,0,216,8,108,100,0,2589,Fulton
02F2,420,19,216,184,1,19,0,8,10,1,47,2,21,24,0,669,Fulton
02G,1968,73,1085,808,2,105,2,41,62,0,247,11,105,131,0,2959,Fulton
02J,1844,654,521,657,12,94,21,28,45,0,220,58,59,101,2,1934,Fulton
02K,819,36,347,436,0,57,3,17,37,0,120,5,41,74,0,1246,Fulton
02L1,2965,168,1528,1245,24,198,9,82,102,5,552,29,195,325,3,4934,Fulton
02L2,575,25,329,220,1,28,2,11,14,1,130,13,55,62,0,971,Fulton
02S,394,24,181,189,0,13,0,4,9,0,30,0,13,17,0,620,Fulton
02W,219,8,99,112,0,25,0,9,16,0,52,3,21,28,0,422,Fulton
03A,763,24,323,412,4,5,0,1,4,0,22,2,7,12,1,1673,Fulton
03B,203,18,78,105,2,2,0,0,2,0,2,0,1,1,0,494,Fulton
03C,738,52,327,355,4,10,0,3,7,0,14,0,5,9,0,1294,Fulton
03D,391,21,163,207,0,6,0,1,5,0,10,0,2,8,0,837,Fulton
03E,885,21,325,532,7,16,0,7,9,0,40,0,18,21,1,1776,Fulton
03F,933,56,506,371,0,72,5,21,46,0,174,12,71,91,0,1647,Fulton
03G,302,17,96,185,4,6,0,4,2,0,6,0,1,5,0,602,Fulton
03H,384,33,191,160,0,12,0,7,5,0,9,0,5,4,0,770,Fulton
03I,657,30,188,425,14,83,1,18,64,0,123,7,19,94,3,1394,Fulton
03L,204,4,54,146,0,2,0,1,1,0,10,0,2,8,0,478,Fulton
03M,337,9,135,190,3,38,1,6,31,0,87,2,20,65,0,663,Fulton
03N,881,20,291,552,18,27,0,6,20,1,35,1,12,22,0,1860,Fulton
03P1A,1592,45,824,710,13,116,0,50,65,1,243,8,117,118,0,3011,Fulton
03P2,21,2,3,15,1,0,0,0,0,0,1,0,0,0,1,26,Fulton
03S,338,12,156,166,4,6,0,1,5,0,7,1,0,6,0,600,Fulton
03T,718,22,307,382,7,17,0,5,12,0,32,0,17,15,0,1320,Fulton
04A,493,17,218,258,0,12,0,3,9,0,11,1,2,8,0,981,Fulton
04B,941,36,391,499,15,11,0,4,7,0,23,1,12,10,0,1924,Fulton
04C,64,0,33,31,0,0,0,0,0,0,0,0,0,0,0,111,Fulton
04D,710,36,322,352,0,4,0,1,3,0,17,1,3,13,0,1239,Fulton
04F,853,32,349,472,0,28,0,6,22,0,77,2,32,43,0,1792,Fulton
04G,306,7,118,181,0,7,0,5,2,0,8,0,4,4,0,667,Fulton
04I,504,50,278,174,2,19,1,8,10,0,52,9,25,18,0,2328,Fulton
04J,412,7,105,293,7,4,0,3,1,0,5,1,0,4,0,1113,Fulton
04K,1138,44,507,585,2,21,1,7,13,0,34,5,11,18,0,1952,Fulton
04L,740,23,313,395,9,24,0,6,16,2,28,3,12,13,0,1296,Fulton
04M,319,6,88,225,0,3,0,1,2,0,8,2,2,4,0,637,Fulton
04S,1119,37,481,598,3,15,0,5,10,0,23,2,13,8,0,1820,Fulton
04T,540,9,229,302,0,6,0,1,5,0,9,0,3,6,0,922,Fulton
04V,1201,42,463,694,2,17,0,5,12,0,20,1,7,12,0,2264,Fulton
04W,705,14,110,530,51,10,2,3,5,0,9,0,0,8,1,1696,Fulton
04X1,923,28,443,445,7,20,0,11,8,1,28,0,13,15,0,1525,Fulton
04X2,318,9,174,133,2,11,0,7,4,0,8,0,3,5,0,608,Fulton
05A1,1465,65,694,704,2,83,1,26,56,0,147,3,46,97,1,2154,Fulton
05A2,1502,38,696,767,1,61,0,19,42,0,121,3,47,70,1,2209,Fulton
05B,852,28,333,482,9,37,2,9,26,0,55,1,17,36,1,1475,Fulton
05C,63,2,32,27,2,0,0,0,0,0,3,0,1,2,0,135,Fulton
05D,117,2,49,49,17,3,0,1,2,0,8,0,3,3,2,312,Fulton
05F,71,1,39,31,0,2,1,1,0,0,7,0,3,4,0,104,Fulton
05J,350,14,177,155,4,21,0,4,17,0,47,4,14,29,0,527,Fulton
05K,1255,29,582,626,18,55,2,20,30,3,85,6,36,42,1,2203,Fulton
06B,1012,52,473,487,0,69,3,17,49,0,197,4,81,112,0,1603,Fulton
06D,4561,277,2491,1790,3,255,14,93,148,0,1152,70,494,587,1,7478,Fulton
06E,1216,66,574,575,1,53,4,19,30,0,253,17,89,147,0,1961,Fulton
06F,1455,69,610,775,1,107,3,23,81,0,281,9,90,182,0,2381,Fulton
06G,307,25,151,131,0,13,0,3,10,0,53,5,17,31,0,464,Fulton
06I,1448,54,805,588,1,83,3,31,49,0,233,7,94,132,0,2553,Fulton
06J,1488,95,777,615,1,92,6,34,52,0,303,9,133,161,0,2271,Fulton
06L1,497,25,255,217,0,28,0,11,17,0,145,12,45,88,0,827,Fulton
06L2,338,21,170,147,0,15,0,6,9,0,132,5,50,77,0,599,Fulton
06N,794,55,484,255,0,66,5,20,41,0,342,11,190,141,0,1704,Fulton
06Q,243,4,151,88,0,10,0,4,6,0,35,0,14,21,0,429,Fulton
06R,885,72,442,371,0,40,1,11,28,0,211,9,78,123,1,1515,Fulton
07A,2123,134,1286,703,0,209,6,93,110,0,1752,118,974,659,1,5418,Fulton
07B,899,73,571,251,4,101,5,48,48,0,1149,48,699,397,5,2599,Fulton
07C,1306,234,736,336,0,88,13,36,39,0,1151,199,591,361,0,3351,Fulton
07D,1289,74,805,406,4,143,4,54,85,0,992,53,525,412,2,3269,Fulton
07E,900,66,557,276,1,61,1,25,35,0,431,35,269,126,1,1748,Fulton
07F,1103,72,658,369,4,91,1,32,57,1,790,36,386,365,3,2570,Fulton
07H,775,56,464,255,0,51,2,20,29,0,589,31,294,264,0,1790,Fulton
07J,1129,42,579,499,9,141,6,38,95,2,612,16,245,347,4,2359,Fulton
07M,777,28,400,347,2,84,3,30,51,0,438,29,167,242,0,1851,Fulton
07N,795,41,443,311,0,54,0,15,39,0,190,8,78,104,0,1561,Fulton
08A,931,66,588,276,1,79,5,35,39,0,944,54,573,316,1,2482,Fulton
08B,982,59,696,226,1,123,5,74,44,0,1221,27,821,369,4,2895,Fulton
08C,328,45,217,65,1,45,1,29,15,0,607,40,400,166,1,1254,Fulton
08D,283,28,193,59,3,33,5,16,12,0,436,27,292,117,0,947,Fulton
08E,842,92,500,248,2,84,12,33,39,0,966,62,573,331,0,2312,Fulton
08F1,612,45,385,182,0,88,10,43,35,0,879,46,502,330,1,1921,Fulton
08G,932,82,506,341,3,60,0,18,42,0,673,34,333,304,2,2464,Fulton
08H,849,77,550,221,1,74,7,37,30,0,831,59,513,258,1,2211,Fulton
