PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
BAYCREEK A,755,30,403,321,1,62,5,22,35,0,1011,77,409,525,0,2272,Gwinnett
BAYCREEK B,2069,62,1130,864,13,72,5,21,45,1,1189,70,513,601,5,4331,Gwinnett
BAYCREEK C,2116,73,1245,794,4,104,4,43,57,0,1562,119,725,714,4,4733,Gwinnett
BAYCREEK D,1262,58,733,464,7,80,7,26,47,0,1547,78,700,765,4,3625,Gwinnett
BAYCREEK E,871,29,454,388,0,57,2,14,41,0,898,71,372,452,3,2418,Gwinnett
BAYCREEK F,1574,72,872,620,10,65,4,22,37,2,989,63,446,472,8,3372,Gwinnett
BAYCREEK G,1634,67,956,609,2,86,6,28,51,1,1319,87,604,624,4,3865,Gwinnett
BAYCREEK H,1296,59,685,547,5,107,6,32,68,1,2090,112,892,1083,3,4368,Gwinnett
BAYCREEK I,1797,58,1047,688,4,97,7,29,61,0,1343,66,608,663,6,4195,Gwinnett
BAYCREEK J,1578,56,907,603,12,72,2,26,44,0,955,66,437,446,6,3384,Gwinnett
BAYCREEK K,1111,39,663,407,2,54,5,20,29,0,1158,63,578,515,2,2867,Gwinnett
BERKSHIRE A,839,36,383,417,3,52,2,12,38,0,383,23,125,234,1,1760,Gwinnett
BERKSHIRE B,2100,77,1253,756,14,102,7,55,40,0,709,79,426,204,0,4080,Gwinnett
BERKSHIRE D,837,64,436,333,4,81,7,29,45,0,930,92,394,441,3,2310,Gwinnett
BERKSHIRE E,598,32,304,260,2,60,1,21,38,0,716,60,337,313,6,1674,Gwinnett
BERKSHIRE F,628,32,243,346,7,39,6,9,24,0,410,35,101,272,2,1573,Gwinnett
BERKSHIRE G,695,32,391,268,4,72,5,21,46,0,794,63,432,297,2,1960,Gwinnett
BERKSHIRE H,587,25,270,287,5,38,3,11,24,0,325,28,122,167,8,1274,Gwinnett
BERKSHIRE J,802,51,413,337,1,95,6,32,57,0,1030,88,480,459,3,2378,Gwinnett
BERKSHIRE L,1174,49,480,635,10,59,5,16,38,0,397,36,147,212,2,2322,Gwinnett
BERKSHIRE M,461,26,215,218,2,50,6,18,26,0,605,44,243,315,3,1403,Gwinnett
BERKSHIRE N,836,55,503,276,2,69,4,28,36,1,1202,90,733,375,4,2585,Gwinnett
BERKSHIRE O,663,43,299,319,2,64,5,11,48,0,986,69,431,483,3,2144,Gwinnett
BERKSHIRE P,416,20,166,223,7,19,0,3,16,0,285,14,110,160,1,1027,Gwinnett
BERKSHIRE Q,468,30,202,232,4,56,4,22,30,0,587,36,235,316,0,1392,Gwinnett
CATES A,520,30,292,198,0,55,1,17,37,0,934,124,447,362,1,1948,Gwinnett
CATES B,371,25,146,199,1,78,5,14,59,0,679,68,283,327,1,1417,Gwinnett
CATES C,964,30,533,397,4,37,1,15,21,0,678,46,326,305,1,2181,Gwinnett
CATES D,931,47,420,459,5,65,2,15,47,1,1096,85,434,574,3,2635,Gwinnett
CATES E,869,44,463,360,2,80,7,22,51,0,1010,88,431,491,0,2402,Gwinnett
CATES F,403,35,151,213,4,59,1,14,43,1,789,63,302,423,1,1566,Gwinnett
CATES G,644,55,302,286,1,75,6,24,45,0,1217,84,560,573,0,2392,Gwinnett
CATES H,1307,41,684,569,13,54,6,23,25,0,683,62,338,283,0,2780,Gwinnett
CATES I,1107,56,543,505,3,89,4,22,63,0,1111,81,441,588,1,2938,Gwinnett
CATES J,1109,67,520,515,7,97,8,20,69,0,910,81,352,475,2,2744,Gwinnett
CATES K,627,28,250,345,4,102,3,21,78,0,932,64,340,525,3,2116,Gwinnett
CATES L,1344,41,707,590,6,74,3,33,38,0,1076,84,495,493,4,3238,Gwinnett
CATES M,1022,66,495,457,4,145,8,37,100,0,1581,122,707,751,1,3457,Gwinnett
CATES N,506,18,246,238,4,57,3,15,38,1,1196,120,542,531,3,2158,Gwinnett
CATES O,382,14,191,176,1,30,0,12,17,1,488,30,180,277,1,1160,Gwinnett
DACULA,1368,51,746,567,4,109,4,48,57,0,1303,50,758,492,3,3648,Gwinnett
DULUTH A,1469,103,700,660,6,138,9,49,79,1,1309,94,544,663,8,3711,Gwinnett
