PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
AUSTIN ROAD,1301,49,969,280,3,41,2,26,13,0,784,34,600,148,2,2606,Henry
COTTON INDIAN,1251,28,867,349,7,72,4,40,26,2,1320,44,896,376,4,3389,Henry
DUTCHTOWN,671,35,450,185,1,57,3,28,26,0,1009,41,710,257,1,2169,Henry
EAST LAKE,466,11,299,156,0,51,5,28,18,0,1648,72,1189,387,0,2639,Henry
ELLENWOOD,2222,60,1775,380,7,47,3,29,14,1,483,28,383,72,0,3401,Henry
FLIPPEN,1736,65,1260,409,2,39,3,16,20,0,1002,50,736,216,0,3492,Henry
GROVE PARK,609,19,402,185,3,52,1,35,15,1,1299,35,951,311,2,2611,Henry
HICKORY FLAT,1904,63,1309,530,2,91,7,37,47,0,1199,51,843,303,2,4061,Henry
KELLEYTOWN,725,27,464,234,0,78,3,41,34,0,1579,49,988,540,2,2814,Henry
LAKE DOW,965,30,653,282,0,79,2,42,35,0,2149,60,1553,535,1,3906,Henry
LAKE HAVEN,980,35,684,261,0,83,5,35,43,0,1548,58,1072,417,1,3313,Henry
LIGHTHOUSE,1342,35,1015,292,0,51,4,30,17,0,951,64,717,169,1,2930,Henry
LOCUST GROVE,1852,72,1354,424,2,97,3,58,36,0,1371,52,1023,293,3,4321,Henry
LOWES,2768,65,1865,833,5,127,5,68,54,0,2055,57,1479,515,4,6423,Henry
MCDONOUGH,660,18,496,142,4,25,1,16,8,0,449,26,354,68,1,1469,Henry
MCDONOUGH CENTRAL,1229,41,898,286,4,70,2,48,20,0,1148,91,922,132,3,3127,Henry
MCMULLEN,495,25,332,137,1,69,1,38,30,0,1660,75,1107,477,1,2697,Henry
MOUNT CARMEL,1929,37,1347,543,2,49,2,24,22,1,717,32,465,220,0,3352,Henry
MT. BETHEL,485,21,281,182,1,48,2,19,27,0,1595,33,891,669,2,2609,Henry
NORTH HAMPTON,2058,91,1373,589,5,118,4,74,40,0,1771,81,1336,349,5,5200,Henry
OAKLAND,1204,54,791,356,3,67,1,38,28,0,1424,71,965,386,2,3348,Henry
PATES CREEK,1700,72,1154,468,6,102,7,57,38,0,1530,90,1038,400,2,4223,Henry
PLEASANT GROVE,1045,25,777,242,1,54,2,28,24,0,1582,73,1131,373,5,3274,Henry
RED OAK,2822,71,1957,787,7,58,5,29,24,0,496,36,307,153,0,4262,Henry
SANDY RIDGE,493,8,311,172,2,83,5,48,30,0,2247,56,1418,773,0,3513,Henry
SHAKERAG,2093,51,1573,468,1,54,1,29,24,0,307,12,249,45,1,3110,Henry
SHILOH,1416,51,941,420,4,73,2,43,28,0,743,26,570,147,0,3049,Henry
SOUTH HAMPTON,1395,114,902,376,3,107,4,67,36,0,1601,46,1165,389,1,4055,Henry
STAGECOACH,991,28,691,270,2,50,1,24,25,0,934,30,677,226,1,2625,Henry
STOCKBRIDGE CENTRAL,1640,39,1087,505,9,64,4,35,24,1,716,29,551,134,2,3477,Henry
STOCKBRIDGE EAST,894,25,633,232,4,33,2,19,12,0,254,19,187,46,2,1638,Henry
STOCKBRIDGE WEST,1995,45,1395,549,6,47,1,24,21,1,351,12,244,92,3,3272,Henry
SWAN LAKE,857,31,614,211,1,60,0,32,27,1,1274,28,983,262,1,2850,Henry
TIMBERRIDGE,311,20,204,87,0,26,1,14,11,0,981,34,600,346,1,1535,Henry
TUSSAHAW,265,8,169,86,2,58,1,31,25,1,1842,59,1204,575,4,2622,Henry
UNITY GROVE,638,20,449,167,2,70,2,40,28,0,2227,50,1684,493,0,3549,Henry
WESLEY LAKES,2047,51,1332,661,3,78,4,41,33,0,940,42,682,214,2,3959,Henry
WESTSIDE,2603,105,1591,894,13,77,1,33,43,0,538,25,348,161,4,4947,Henry
