PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ATTICA,256,3,107,145,1,34,0,7,27,0,689,24,259,406,0,1187,Jackson
CENTER,125,7,37,80,1,12,0,5,7,0,465,18,138,309,0,784,Jackson
CUNNINGHAM,80,5,38,37,0,23,2,9,12,0,501,11,249,241,0,735,Jackson
HARRISBURG,192,11,117,62,2,35,3,10,22,0,1006,28,579,399,0,1555,Jackson
HOSCHTON,128,2,75,51,0,27,0,10,17,0,763,14,460,286,3,1189,Jackson
MILLER,114,5,46,63,0,35,0,9,26,0,1056,21,458,576,1,1482,Jackson
N JEFFERSON,640,18,438,180,4,196,7,113,76,0,3642,90,2666,882,4,5388,Jackson
N MINISH,346,13,211,121,1,37,3,18,16,0,1065,47,738,276,4,1876,Jackson
NEWTOWN,187,9,83,95,0,39,1,13,25,0,1287,44,599,644,0,1940,Jackson
PORTER,465,10,301,148,6,75,6,38,31,0,2272,56,1539,676,1,3459,Jackson
RANDOLPH,486,24,311,149,2,124,4,60,60,0,3465,105,2271,1078,11,4791,Jackson
REDSTONE,273,8,142,123,0,33,0,9,24,0,868,28,446,394,0,1569,Jackson
S JEFFERSON,577,20,396,160,1,75,1,51,23,0,1941,51,1384,504,2,3306,Jackson
S MINISH,458,14,285,157,2,62,0,39,23,0,1674,49,1149,473,3,2846,Jackson
TALMO,97,2,41,53,1,16,0,7,9,0,624,16,260,347,1,920,Jackson
WILSON,67,1,28,37,1,11,0,7,4,0,466,18,181,267,0,692,Jackson
