PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
BAILEY,143,15,66,62,0,10,0,5,5,0,681,40,269,372,0,963,Laurens
BREWTON,205,10,75,120,0,14,0,3,11,0,784,21,278,485,0,1245,Laurens
BUCKEYE,290,22,120,148,0,5,0,2,3,0,329,4,123,202,0,797,Laurens
BURCH,54,9,13,32,0,8,0,0,8,0,213,4,37,172,0,332,Laurens
BURGAMY,294,35,105,154,0,10,0,4,6,0,326,24,110,192,0,768,Laurens
CADWELL,68,5,13,50,0,4,0,1,3,0,407,7,89,311,0,573,Laurens
CALHOUN PARK,2214,157,985,1072,0,42,4,16,22,0,745,75,406,264,0,4639,Laurens
DUDLEY,152,17,51,84,0,16,2,8,6,0,628,33,194,401,0,902,Laurens
FBC - FLC,850,54,505,291,0,60,6,26,28,0,1767,140,1137,490,0,3316,Laurens
FIRE DEPT STA #5,551,27,339,185,0,50,6,21,23,0,1810,109,1082,618,1,2888,Laurens
HAMPTON MILL,150,12,44,94,0,8,2,2,4,0,975,22,260,693,0,1339,Laurens
HARVARD,120,5,20,95,0,1,0,0,1,0,123,3,18,102,0,311,Laurens
LCFS #10 (VALAMBROSIA),442,28,209,204,1,14,2,5,7,0,769,29,324,416,0,1585,Laurens
MINTER,34,1,9,24,0,13,1,2,10,0,516,21,147,348,0,666,Laurens
REEDY SPRINGS,87,10,25,52,0,9,0,2,7,0,475,10,104,361,0,666,Laurens
RURAL FIRE STA #17,316,17,138,161,0,17,0,7,10,0,930,44,390,496,0,1614,Laurens
SMITH,782,45,292,445,0,32,3,12,17,0,933,55,391,486,1,2447,Laurens
