PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
BRITT DAVID,485,22,206,256,1,52,1,10,41,0,914,47,305,561,1,1947,Muscogee
CARVER/MACK,2095,127,1226,738,4,26,3,12,11,0,80,7,43,30,0,3625,Muscogee
COLUMBUS TECH,764,30,302,428,4,65,2,25,38,0,1012,54,408,548,2,3210,Muscogee
CORNERSTONE,1230,73,652,505,0,111,7,43,61,0,2172,107,872,1193,0,4650,Muscogee
CUSSETA RD,2420,133,989,1293,5,32,1,11,20,0,126,15,63,47,1,4804,Muscogee
EDDY/KEY,1334,68,494,769,3,27,0,10,17,0,371,31,130,210,0,3212,Muscogee
EDGEWOOD BAPTIST,1088,42,608,435,3,44,4,12,28,0,625,36,264,324,1,2478,Muscogee
EPWORTH UMC,827,45,371,410,1,92,8,27,57,0,1268,102,528,637,1,3367,Muscogee
FAITH TABERNACLE,2169,104,1181,879,5,34,1,16,15,2,179,12,79,87,1,3550,Muscogee
FIRST AFRICAN,579,29,194,350,6,33,2,8,23,0,208,15,75,116,2,1502,Muscogee
FORT/WADDELL,2721,144,1559,1010,8,61,7,23,30,1,535,75,261,198,1,5311,Muscogee
GENTIAN/REESE @LDS,1395,85,685,616,9,108,5,42,61,0,1609,114,760,734,1,4333,Muscogee
MARIANNA GALLOPS,848,40,349,455,4,44,3,16,25,0,328,13,132,183,0,2267,Muscogee
MOON/MORNINGSIDE,973,63,490,420,0,115,7,44,64,0,2079,140,938,1000,1,4225,Muscogee
MT PILGRIM,2941,145,1589,1199,8,55,5,20,30,0,142,12,60,70,0,4666,Muscogee
NATIONAL INFANTRY MUSEUM,1866,152,934,772,8,40,4,14,22,0,316,47,86,182,1,4427,Muscogee
PSALMOND/MATHEWS,1834,89,1108,636,1,124,6,51,67,0,2505,101,1319,1082,3,5607,Muscogee
ROTHSCHILD,3213,120,1927,1160,6,72,1,33,38,0,483,45,241,195,2,5668,Muscogee
SALVATION ARMY,820,26,426,367,1,59,3,21,35,0,924,53,409,461,1,2365,Muscogee
ST ANDREWS/MIDLAND,1838,102,1006,728,2,173,8,57,108,0,2566,132,1177,1253,4,6014,Muscogee
ST JOHN/BELVEDERE,2852,160,1561,1123,8,34,0,13,21,0,179,18,83,78,0,4397,Muscogee
ST MARK/HEIFERHORN,1129,71,627,431,0,106,5,44,57,0,2934,95,1438,1401,0,5218,Muscogee
ST PAUL/CLUBVIEW,1236,64,705,465,2,133,10,51,72,0,2067,141,1114,812,0,4538,Muscogee
ST. PETER,629,36,309,282,2,60,3,11,46,0,1330,63,536,730,1,2636,Muscogee
WYNNBROOK,516,72,274,170,0,58,11,20,27,0,1402,134,665,603,0,2411,Muscogee
WYNNTON/BRITT,2049,132,983,931,3,73,2,27,43,1,622,30,313,279,0,4272,Muscogee
