PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ALCOVY,1035,64,583,388,0,79,6,19,54,0,1439,72,796,571,0,3319,Newton
ALMON,1963,81,1171,710,1,49,2,14,33,0,706,45,338,323,0,3525,Newton
BEAVERDAM,2068,53,1202,813,0,39,1,10,28,0,617,37,314,266,0,3707,Newton
BREWERS,500,19,219,262,0,47,4,16,27,0,1512,55,516,941,0,2579,Newton
BRICK STORE,394,27,216,151,0,44,2,12,30,0,1283,58,555,669,1,2088,Newton
BUCK CREEK,1365,65,786,514,0,72,3,27,42,0,1357,64,742,551,0,3723,Newton
CEDAR SHOALS,743,12,408,323,0,51,3,12,36,0,629,32,239,357,1,2098,Newton
CITY POND,552,33,249,270,0,17,1,8,8,0,310,12,144,154,0,1338,Newton
COVINGTON MILLS,803,36,434,333,0,43,2,18,23,0,762,46,373,343,0,2230,Newton
CROWELL,2109,84,1174,851,0,28,0,13,15,0,367,13,191,163,0,3455,Newton
DOWNS,1619,54,945,620,0,83,1,50,32,0,1884,69,1042,773,0,4673,Newton
FAIRVIEW,1155,40,581,534,0,19,1,6,12,0,217,10,103,104,0,2017,Newton
GUM CREEK,654,33,403,218,0,65,6,14,45,0,2072,102,955,1015,0,3352,Newton
HUB,267,15,124,128,0,40,3,13,24,0,1331,53,521,757,0,1949,Newton
LEGUINN,268,18,129,121,0,27,1,6,20,0,1064,48,390,626,0,1646,Newton
LIVINGSTON,1649,63,956,630,0,42,1,17,24,0,722,43,367,312,0,3348,Newton
MANSFIELD,114,11,36,67,0,19,0,1,18,0,877,26,177,674,0,1218,Newton
NEWBORN,105,7,20,78,0,16,0,1,15,0,425,14,86,325,0,632,Newton
OXFORD,417,33,176,208,0,49,0,16,33,0,1009,58,447,504,0,1879,Newton
ROCKY PLAINS,814,35,406,373,0,38,0,11,27,0,1116,39,534,543,0,2695,Newton
STANSELLS,1662,62,976,624,0,41,2,16,23,0,726,50,393,283,0,3380,Newton
TOWN,1687,135,841,711,0,39,6,11,21,1,488,35,262,191,0,3451,Newton
