PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
APPALACHIAN,167,7,115,45,0,33,2,14,17,0,970,15,689,266,0,1463,Pickens
HILL,158,5,91,62,0,42,1,15,26,0,913,13,576,324,0,1385,Pickens
HINTON,47,2,25,20,0,16,0,6,10,0,404,1,167,236,0,585,Pickens
JASPER,246,12,155,79,0,44,0,20,24,0,1024,22,710,292,0,1711,Pickens
JERUSALEM,67,1,33,33,0,12,2,3,7,0,538,6,193,339,0,776,Pickens
LUDVILLE,24,0,12,12,0,10,0,1,9,0,343,2,130,211,0,474,Pickens
NELSON,118,0,54,64,0,25,0,4,21,0,750,11,404,335,0,1098,Pickens
REFUGE,169,3,119,47,0,29,0,13,16,0,1259,25,838,396,0,1825,Pickens
SHARPTOP,340,15,241,84,0,46,2,22,22,0,1434,39,926,469,0,2120,Pickens
TALKING ROCK,104,5,58,41,0,19,0,16,3,0,933,14,553,366,0,1328,Pickens
TATE,174,6,104,63,1,42,1,29,12,0,1358,12,822,523,1,1992,Pickens
YELLOW CREEK,365,14,230,120,1,36,2,16,18,0,1725,43,1014,668,0,2562,Pickens
