PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
BA,1659,41,1172,443,3,95,7,54,34,0,1396,50,956,390,0,3927,Rockdale
BT,278,18,185,75,0,17,2,8,7,0,668,25,339,303,1,1211,Rockdale
CO,1269,51,805,412,1,40,3,20,17,0,439,12,298,129,0,2595,Rockdale
FI,2022,57,1393,570,2,56,3,33,19,1,390,19,288,83,0,3395,Rockdale
FS,1739,55,1256,428,0,45,0,30,15,0,641,46,450,145,0,3285,Rockdale
HC,625,30,447,146,2,49,1,24,24,0,883,33,638,212,0,2037,Rockdale
HI,1176,44,814,318,0,42,1,22,19,0,799,31,528,239,1,2565,Rockdale
LA,670,29,405,234,2,43,2,16,25,0,326,16,221,88,1,1385,Rockdale
LO,1354,30,977,344,3,61,5,30,26,0,1239,61,709,469,0,3254,Rockdale
MA,776,36,510,230,0,55,0,31,24,0,1038,26,684,326,2,2441,Rockdale
MI,1530,38,1050,442,0,49,2,25,22,0,526,26,349,151,0,2946,Rockdale
OT,2424,74,1588,760,2,69,3,29,37,0,513,40,348,125,0,4456,Rockdale
RO,1713,65,1258,389,1,53,2,30,21,0,867,40,657,170,0,3474,Rockdale
SA,1521,50,1093,374,4,57,3,28,26,0,674,52,478,143,1,3054,Rockdale
SH,483,22,279,182,0,48,2,17,29,0,874,33,541,300,0,1908,Rockdale
SM,1834,60,1386,384,4,54,2,33,19,0,821,40,614,166,1,3519,Rockdale
SP,1165,41,884,240,0,31,1,20,10,0,372,17,289,66,0,1967,Rockdale
ST,1017,39,758,219,1,59,2,35,22,0,1012,48,745,219,0,2584,Rockdale
