PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
01,347,11,200,136,0,16,0,7,9,0,672,22,381,268,1,1529,Spalding
02,44,0,16,28,0,12,0,4,8,0,368,6,105,257,0,501,Spalding
03,267,10,154,103,0,25,4,12,9,0,867,28,600,239,0,1432,Spalding
04,151,3,101,47,0,25,1,12,12,0,927,30,505,391,1,1419,Spalding
05,380,11,203,164,2,27,1,16,10,0,796,32,511,253,0,1500,Spalding
06,839,36,447,356,0,15,0,11,4,0,221,18,141,62,0,1762,Spalding
07,759,29,410,320,0,16,0,8,8,0,123,5,78,40,0,1340,Spalding
08,171,7,88,75,1,41,2,10,29,0,1261,30,643,587,1,1875,Spalding
09,931,64,640,227,0,56,1,34,21,0,1720,79,1183,457,1,3208,Spalding
10,855,57,414,384,0,11,0,5,6,0,72,3,46,23,0,1588,Spalding
11,405,14,235,156,0,39,1,21,17,0,1248,60,765,422,1,2131,Spalding
12,227,12,139,76,0,42,3,10,29,0,883,34,588,261,0,1377,Spalding
13,425,19,259,145,2,33,3,14,16,0,998,39,668,289,2,1852,Spalding
14,837,39,471,327,0,27,2,14,11,0,611,30,359,221,1,2099,Spalding
15,177,10,90,77,0,18,2,2,14,0,766,25,378,363,0,1222,Spalding
16,219,7,121,91,0,20,0,6,14,0,1085,27,680,377,1,1695,Spalding
17,741,27,336,376,2,8,0,3,5,0,101,5,59,37,0,1582,Spalding
18,192,20,120,52,0,39,3,22,14,0,740,39,544,157,0,1254,Spalding
19,235,7,104,124,0,33,1,10,22,0,722,23,342,357,0,1444,Spalding
20,180,10,100,70,0,38,1,14,23,0,634,33,397,204,0,1083,Spalding
21,975,24,528,422,1,56,2,34,20,0,831,46,589,196,0,2939,Spalding
